,cue,association,explanation,relation
80,absolutely,sure,i can be absolutely sure about something.,UNK
81,absolutely,sure,you can be absolutely sure in your work if you're confident.,UNK
82,absolutely,total,"if i consume something totally, i've done so absolutely.",UNK
83,absolutely,totally,absolutely has a similar meaning as totally.,UNK
84,absolutely,utterly,absolutely has a similar meaning as utterly.,UNK
85,absolutely,whole,"absolutely is related to whole, vast.",UNK
86,abstract,art,i think of abstract art.,UNK
87,abstract,art,many art pieces are abstract in nature.,UNK
88,abstract,artist,my friend was an artist that loved to paint abstract paintings.,UNK
89,abstract,concept,love is a good example of abstract concept.,UNK
90,abstract,concrete,abstract is the opposite of concrete.,UNK
91,abstract,different,when something is abstract it is often different from the norm,UNK
92,abstract,idea,the idea was very abstract and difficult to understand.,UNK
93,abstract,ideas,the ideas given in the abstract can be used in our project,UNK
94,abstract,information,the information given in the abstract is true,UNK
95,abstract,like,i like dogs in the abstract but i cannot bear this one,UNK
96,abstract,painting,the painting is an abstract.,UNK
97,abstract,school,when you are in school like college you often have to write an abstract for a project,UNK
98,abstract,summary,an abstract can be said to be the summary of a publication.,UNK
99,abstract,theoretical,anything abstract is more theoretical than practical.,UNK
100,abstract,theory,if something is abstract it is a theory because it has no physical presence.,UNK
101,abstract,thinking,abstract thinking is when i am still conceptualizing an idea which is not exactly clear yet.,UNK
102,abstract,tried,she tried to abstract my attention from my work,UNK
103,abstract,view,my view was abstracted by the large trees.,UNK
104,access,ability,his key gave him the ability to have easy access to the confidential files.,UNK
105,access,allow,to access something you often need to be allowed.,UNK
106,access,allowed,having access to a particular area means you are allowed inside.,UNK
107,access,card,i have an access card to enter in this room.,UNK
108,access,computer,one needs access to get into my work computer,UNK
109,access,computers,people need passwords for computers to get access.,UNK
110,access,convenient,it was very convenient for the sportswriter to get access to the players.,UNK
111,access,enter,the new employee said only if his hr gives him access he could enter into his room,UNK
112,access,entering,"for entering that club, you will need your access card.",UNK
113,access,entry,access is a synonym for entry.,UNK
114,access,granted,when you need access to something you wanted to be granted it.,UNK
115,access,information,"when you want access to information, then you have to look at how.",UNK
116,access,invited,"in order to have access to certain places, you must be invited.",UNK
117,access,key,the key granted her access.,UNK
118,access,obtain,to have access to something means that one obtained the permission for it,UNK
119,access,password,the door password is the access to the house.,UNK
120,access,permission,access means giving permission to enter into a system or anything,UNK
121,access,report,he give report to access the device.,UNK
122,accident,bike,my friend injuried bike accident,UNK
123,accident,blood,i saw a road accident and there are some people had a lot of blood loss,UNK
124,accident,blood,in the bus accident so many peoples having blood loss,UNK
125,accident,car,the most common type of accident is a car accident.,UNK
126,accident,car,"yesterday, i saw the car accident.",UNK
127,accident,causalty,causalty is good to one but in some cases the accident was held,UNK
128,accident,death,a big accident should lead to death,UNK
129,accident,death,some of the accidents leads to death.,UNK
130,accident,exercises,fast exercises mostly accidental will come,UNK
131,accident,fast,fast driving accident in the morning in market road,UNK
132,accident,hospital,in the car accident two peoples are admitted in the hospital,UNK
133,accident,incident,one day met an accident. it is an incident,UNK
134,accident,injury,i am injuried in a car accident,UNK
135,accident,mischance,"mischance give a accident, it was more affect.",UNK
136,accident,transport,road is one of the transport. many accident is on the road,UNK
137,account,anxiety,i have a lot of anxiety about maintaining a pristine mturk account,UNK
138,account,bank,i have accounts with several banks,UNK
139,account,bank,i have an account with my bank.,UNK
140,account,bank,many people with money make sure they have it in a bank account,UNK
141,account,bank,the woman had thousands of dollars in her bank account,UNK
142,account,breach,there was an account breach last week.,UNK
143,account,checking,many people no longer have a checking account.,UNK
144,account,email,the boy had new mail in his email account,UNK
145,account,expense,the caseworker submitted his expense account after going out of town for training.,UNK
146,account,file,a account often consists of files related to a customer or client.,UNK
147,account,information,an account is full of information about you like at a bank.,UNK
148,account,manager,i need to speak with the account manager.,UNK
149,account,money,he had little money remaining in his account.,UNK
150,account,money,you want to have a lot of money in your bank account,UNK
151,account,number,an account often has a number associated with it.,UNK
152,account,password,my account needs a new password.,UNK
153,account,relationship,i enjoy my account manager's relationship with me.,UNK
154,account,sales,it was difficult to make many sales since he had such an unfavorable account list,UNK
155,account,witness,an account of the the incident refers to a witness's recollection of the event.,UNK
156,action,chaos,if there is a lot of action it could cause chaos.,UNK
157,action,effort,taking action involves putting in effort.,UNK
158,action,excitement,"if there's action in a film, there's excitement.",UNK
159,action,exciting,the action movie was exciting to watch.,UNK
160,action,figure,i think it's really funny that most action figures aren't capable of performing any actions,UNK
161,action,game,the video game was considered and action game.,UNK
162,action,games,there are different genres of games like action and adventure.,UNK
163,action,move,the next action is this move.,UNK
164,action,movement,if there is action there is movement.,UNK
165,action,movement,"if there's action, there's a lot of movement.",UNK
166,action,movie,i think action movies are largely overrated,UNK
167,action,movie,the action movie was very exciting,UNK
168,action,movie,the movie was filled with action.,UNK
169,action,plan,they put their plan into action.,UNK
170,action,sequence,the action sequence in the tv show was very realistic,UNK
171,action,sports,there is always a lot of action in sports.,UNK
172,action,take,you take action to make something happen.,UNK
173,action,words,actions speak louder than words.,UNK
174,action,work,taking action involves putting in work.,UNK
175,actress,actor,the actor and the actress are on the set of the movie.,UNK
176,actress,angelina jolie,angelina jolie is a very famous actress.,UNK
177,actress,anorexia,actresses are often very thin and speculated to suffer from anorexia,UNK
178,actress,award,the actress won an award.,UNK
179,actress,fake,the actress was so fake i couldn't take her seriously.,UNK
180,actress,famous,some actresses are very famous.,UNK
181,actress,hepburn,audrey hepburn is my favorite actress.,UNK
182,actress,movie,an actress is involved in movie making.,UNK
183,actress,movie,the actress made fifty movies.,UNK
184,actress,movie,the actress was cast for the movie.,UNK
185,actress,movie,the actress was nominated for an award for her role in the marvel movie,UNK
186,actress,movies,she was the lead actress in like three movies.,UNK
187,actress,oscar,the best actress oscar ward was given to agalina jolie,UNK
188,actress,rich,a well-known actress can be very rich.,UNK
189,actress,show,the actress was featured on a weekly television show,UNK
190,actress,stage,the actress was well known for her stage performance.,UNK
191,actress,streep,meryl streep is one of the best actresses ever.,UNK
192,actress,talented,she is a very talented actress.,UNK
193,actress,underpaid,"actresses are largely underpaid, i think",UNK
194,actually,annoying,she kept saying actually and it was annoying.,UNK
195,actually,current,actually and currently are based in the same time.,UNK
196,actually,factually,actually it was very factually true.,UNK
197,actually,find,he can actually find the gold.,UNK
198,actually,happens,"when you are dealing with something that actually happens, it wasn't meant to be.",UNK
199,actually,help,i can actually help with that.,UNK
200,actually,money,the word actually is used in financial discussion about money that i participate in,UNK
201,actually,now,referring to time actually means now.,UNK
202,actually,point,"actually, that point was valid.",UNK
203,actually,prove,you actually want to prove a point.,UNK
204,actually,real,"if something is actually true, it is real.",UNK
205,actually,reality,actually is something that happens with reality.,UNK
206,actually,right,the right to vote for women actually was illegal in the 1950s,UNK
207,actually,truly,actually is a synonym for truly.,UNK
208,actually,truth,he was actually telling the truth.,UNK
209,actually,words,her words actually made me cry.,UNK
210,actually,work,again the word actually is something i hear all the time at work,UNK
211,actually,wrong,the boy actually got the answer wrong even though he acted like he knew it,UNK
212,additive,addition,addition of other items to food gives a better taste,UNK
213,additive,addition ,additive is synonym of the addition,UNK
214,additive,chemical,the additive is a synthetic chemical.,UNK
215,additive,chemical,the soda had many chemical additives,UNK
216,additive,content,the content is an additive.,UNK
217,additive,extra ,additive also called as a extra,UNK
218,additive,food,additive are substances added to food to preserve flavor,UNK
219,additive,food,an additive is a substance added to commercial food products.,UNK
220,additive,growing,the fund was growing with every additive of money.,UNK
221,additive,more,"the more i put in the jar, the additive the benefits of the money.",UNK
222,additive,oil,the additive in the oil wasn't good for the car.,UNK
223,additive,preservative,a preservative is a kind of additive to make foods last longer.,UNK
224,additive,product,this is an additive product.,UNK
225,additive,slag,slag is added as an additive.,UNK
226,additive,sugar,the coffee had a sugar additive in it,UNK
227,additive,sugar,the sugar additive in the food was too much.,UNK
228,additive,taste,additive are substances added to food to enhance taste,UNK
229,additive,theme,i think the theme of this program is more additive.,UNK
230,additive,toxic,the additive is always toxic.,UNK
231,adept,engineer,he is so adept in engineering.,UNK
232,adept,expert,an expert in a field is adept in it.,UNK
233,adept,handy,a handy man is adept at a variety of household tasks.,UNK
234,adept,proficient,"when someone is adept at something, they are very proficient in that particular subject.",UNK
235,adept,quick,to be adept means that one is quick,UNK
236,adept,skilled,being adept at something means you are very skilled in that subject.,UNK
237,adept,skilled,"if a person is adept at a sport, it means they are very skilled at it.",UNK
238,adept,skilled,someone who is adept at something is considered skilled in an arena.,UNK
239,adept,skillful,adept is a synonym for skillful.,UNK
240,adept,smart,a smart person is very adept at learning.,HasProperty
241,adept,student,the student was the most adept in the class.,UNK
242,adept,talent,if you are adept you have talent.,UNK
243,adept,work,the boy is so adept at his work.,UNK
244,admiral,army,an admirable is a high ranked commander in the army.,UNK
245,admiral,authority,any admiral has authority because of his responsibilities.,UNK
246,admiral,captain,admirals and captains are leaders in the army.,UNK
247,admiral,chief,admirals and chiefs are leaders in the world.,Members-of-the-same-Category
248,admiral,commander,an admiral can be the commander of a fleet of ships.,UNK
249,admiral,commander,the admiral is also known as a commander.,UNK
250,admiral,general,admiral and general are high ranking officers in the army or navy,UNK
251,admiral,hat,when i imagine an admiral i imagine a funny hat,UNK
252,admiral,leader,an admiral is an important leader.,UNK
253,admiral,loved,the most admiral person i loved is michael jackson,UNK
254,admiral,military,i'm pretty sure an admiral is a military figure,UNK
255,admiral,military,the admiral served in the military.,UNK
256,admiral,navy,an admiral is a high ranking officer in the navy,UNK
257,admiral,navy,he was an admiral in the navy.,UNK
258,admiral,navy,the navy admiral steered the ship.,UNK
259,admiral,person,the most admiral person is joe biden,UNK
260,admiral,rear,a rear admiral is a high ranking officer in the military.,Common-Phrase
261,admiral,sea,the admiral was at sea.,UNK
262,admiral,ship,he worked as an admiral on the ship.,UNK
263,admiral,ship,the admiral was in charge of the ship.,UNK
264,adore,admire,you may admire someone when you adore them,UNK
265,adore,art,you can adore fantastic and classical art,UNK
266,adore,attraction,if i adore someone i have a strong attraction.,UNK
267,adore,beauty,i find your beauty very adorable,UNK
268,adore,beauty,you can adore something because of its beauty,UNK
269,adore,children,i adore my two children.,UNK
270,adore,girlfriend,i adore my new girlfriend.,UNK
271,adore,happy,"when you adore something or someone, it makes you happy.",UNK
272,adore,lady,i adore the lady and i am sure you do too.,UNK
273,adore,love,to adore a person is to love a person,UNK
274,adore,love,to adore something is to love it.,UNK
275,adore,love,"when you love something, you also adore it.",UNK
276,adore,love ,adoring someone means you love them.,UNK
277,adore,man,the man adored his wife since the day he met her,UNK
278,adore,treasure,another way to say i adore you is to say i treasure you.,UNK
279,adore,woman,the woman adored her family,UNK
280,adrenaline,epinephrine,adrenaline is also known as epinephrine.,UNK
281,adrenaline,excitement,the excitement of the game brought all the players adrenaline level's sky high.,UNK
282,adrenaline,excitement,when you're high on adrenaline you are high on excitement,UNK
283,adrenaline,fight,when you have a lot of adrenaline you can fight someone with low pain,UNK
284,adrenaline,game,in a game there is usually a rush of adrenaline involved,UNK
285,adrenaline,high,a rush of adrenaline feels like your high on drugs.,UNK
286,adrenaline,high,the boys adrenaline was high as he stepped onto the football field,UNK
287,adrenaline,hormone,adrenaline is a body hormone,UNK
288,adrenaline,men,men are often associated with adrenaline.,UNK
289,adrenaline,panic,"if you panic, your body produces adrenaline.",UNK
290,adrenaline,psyched,"if my adrenaline is pumping, i am psyched.",UNK
291,adrenaline,rush,an adrenaline rush happens when you do something scary or super exciting.,UNK
292,adrenaline,rush,people skydive and snowboard to get an adrenaline rush.,UNK
293,adrenaline,rush,the football team got an adrenaline rush after the touchdown,UNK
294,adrenaline,rush,"when something scary happens to someone, they get an adrenaline rush",UNK
295,adrenaline,strong ,"if you are producing adrenaline, you become very strong for awhile.",UNK
296,advantage,ahead,having the advantage means that you are ahead of others,UNK
297,advantage,ahead,if you have advantage you are usually ahead in some way.,UNK
298,advantage,ahead,"if you have an advantage, then you are ahead.",UNK
299,advantage,benefit,take advantage definitely get benefit,UNK
300,advantage,benefit,"when you have an advantage, you have more benefits than others.",UNK
301,advantage,bonus,having an advantage in something is basically like having a bonus in that respect.,UNK
302,advantage,cheating,just because he has an advantage does not mean he is cheating.,UNK
303,advantage,disadvantage,advantage is the opposite of disadvantage.,UNK
304,advantage,earnings,he get advantage by others earnings.,UNK
305,advantage,edge,advantage has a similar meaning as edge.,UNK
306,advantage,gain,advantage can also mean a gain.,UNK
307,advantage,more,if you have an advantage you usually have more.,UNK
308,advantage,more prizes,more prizes at shopping website is an advantage of using that site.,UNK
309,advantage,positive,"an advantage is something positive, you want to have the advantage.",UNK
310,advantage,profit,advantage create the profit in everyone,UNK
311,advantage,status,status gives one an advantage in a society.,UNK
312,advantage,strategy,"in life, developing a successful strategy can be a winning advantage.",UNK
313,advantage,tennis,"in tennis, deuce may precipitate ad-in, short for ""advantage in"".",UNK
314,advantage,upperhand,when one is at an advantage then it means that they have the upperhand,UNK
315,advantage,winning,when one is at an advantage then it means that they are winning,UNK
316,advertise,annoying,the company made an annoying commercial to advertise their product.,UNK
317,advertise,billboard,many companies choose to advertise on a billboard.,UNK
318,advertise,cheesy,so much advertising is just cheesy and insubstantial.,UNK
319,advertise,commercials,people who advertise often use commercials.,UNK
320,advertise,commercials,that company is likely to advertise on television with commercials.,UNK
321,advertise,commercials,the commercials advertise products we don't need.,UNK
322,advertise,corporation,a corporation will advertise relentlessly.,UNK
323,advertise,greed,people that advertise repeatedly are full of greed,UNK
324,advertise,incentive,advertising gives you an incentive.,UNK
325,advertise,marketing,advertising is a key part of marketing.,UNK
326,advertise,money,people spend money to advertise so they can make more money,UNK
327,advertise,money,when companies advertise a product they are trying to make money.,UNK
328,advertise,newspaper,some companies choose to advertise in the newspaper.,UNK
329,advertise,opportunity,advertise create the new opportunity,UNK
330,advertise,product,the product needs to be advertised for better results.,UNK
331,advertise,products,the products don't advertise how poorly they work.,UNK
332,advertise,quality,advertise gives to quality work,UNK
333,advertise,radio,many companies advertise on the radio.,UNK
334,advertise,webads,webads are a form of online advertisement,UNK
335,advice,bad,the boy gave the girl bad advice which got her hurt,UNK
336,advice,column,her advice column is very popular.,UNK
337,advice,column,i think that advice columns are sometimes silly.,UNK
338,advice,counsel,"when you counsel someone, you give them advice.",UNK
339,advice,counsel,"when your friend asks for advice, you should counsel them.",UNK
340,advice,friend,i usually will rely on a friend to give me good advice.,UNK
341,advice,give,i don't like when someone gives me too much advice.,UNK
342,advice,guidance,i received advice and guidance from my therepist during my depression,UNK
343,advice,help,giving advice is a verbal way to offer help to someone.,UNK
344,advice,help,if you are offering advice you are offering help.,UNK
345,advice,helped,his advice has helped millions.,UNK
346,advice,instruct,giving advice to your friend involves instructing them on what you think they should do.,UNK
347,advice,parents,parents role is to give advice to their children.,UNK
348,advice,professional,there are certain issues that one needs to seek professional advice.,UNK
349,advice,recommend,if someone gives advice then they recommend something to us,UNK
350,advice,recommend,one way to give advice is to recommend an action,UNK
351,advice,recommendation,my teacher's advice included his recommendation of the best schools for me.,UNK
352,advice,talk,talk to her a give her advice,UNK
353,advice,valuable,a mother's advice is typically valuable,UNK
354,afraid,accident,i am afraid of getting into a car accident.,UNK
355,afraid,brave,the opposite of being afraid is being brave.,UNK
356,afraid,cat,the cat was afraid to go outside.,UNK
357,afraid,challenge,sometimes people are afraid to take on a challenge,UNK
358,afraid,cower,"i was afraid, so i cowered in fear.",UNK
359,afraid,dangerous,"if the situation becomes dangerous, i know i will be afraid.",UNK
360,afraid,frightened,afraid and frightened mean the same thing.,UNK
361,afraid,life,i had never been so afraid in my life.,UNK
362,afraid,monsters,little kids are frequently afraid of monsters.,UNK
363,afraid,person,the person was afraid of the dark cemetary.,UNK
364,afraid,reluctant,"if i am afraid, i am reluctant.",UNK
365,afraid,run,when you are afraid of something you might run away,UNK
366,afraid,scared,a person who is afraid of something is scared of it.,UNK
367,afraid,scared,afraid and scared mean the same thing.,UNK
368,afraid,scared,being afraid is when you are scared of something.,UNK
369,afraid,scared,if you are afraid of something then you can be said to be scared of it.,UNK
370,afraid,snakes,i get afraid when i think of big snakes.,UNK
371,afraid,terrified,if i'm extremely afraid of something i am terrified of it.,UNK
372,afraid,virginia,"richard burton and elizabeth taylor starred in ""who's afraid of virginia woolf?""",UNK
373,afraid,want,i don't want to because i'm afraid.,UNK
374,agent,actor,actors love to play fbi agents in shows.,UNK
375,agent,actor,"if you are an actor, you have to have an agent.",UNK
376,agent,bond,james bond is a special agent for england.,UNK
377,agent,bonding,super glue is an excellent bonding agent,UNK
378,agent,broker,agent is another work of the broker,UNK
379,agent,client,agent is also called the client,UNK
380,agent,cut,the agent took a cut of his client's salary,UNK
381,agent,federal,my boss used to be a federal agent.,UNK
382,agent,helper,an agent is often a helper for someone.,UNK
383,agent,person,an agent is a person who acts on behalf of another person.,Thematic
384,agent,private,i think it would be an interesting job to be a private agent,UNK
385,agent,represent,she employed an agent to represent her to handle the rental business.,Function
386,agent,representative,an agent of a company is their representative.,UNK
387,agent,secret,the secret agent is yet to be known.,UNK
388,agent,sport,the sport agent is working hard.,UNK
389,agent,sports,the sports agent represented many players,UNK
390,agent,spy,a spy is an agent of the government.,UNK
391,agent,ticket,"at the airport, people see ticket agents to get a boarding pass.",UNK
392,agent,travel,sometimes people use travel agents to plan a vacation.,UNK
393,agent,unfair,agents can provide people unfair advantages compared to those who don't have an agent.,UNK
394,agree,accept,i agree with my friend by accepting his statement.,UNK
395,agree,accepting ,labor will have to agree to accepting the plan done by coworkers,UNK
396,agree,character,i agree my partner's character.,UNK
397,agree,completely ,i agree their conditions completely,UNK
398,agree,consent,to agree is to give consent to someone on something.,UNK
399,agree,opinions,my friend opinions makes to feel agree about the movie scene,UNK
400,agreeable,afraid,if one is agreeable then it means that they are afraid to stand on their own,UNK
401,agreeable,compromise,the two parties came up with an agreeable compromise to resolve their conflict,UNK
402,agreeable,conflict,an agreeable person is less likely to get into a conflict.,UNK
403,agreeable,contract,"if the terms are agreeable, we can sign the contract.",UNK
404,agreeable,decision,that was an agreeable decision.,UNK
405,agreeable,decision,the two parties came to an agreeable decision over their conflict,UNK
406,agreeable,disagreeable,the opposite of agreeable is disagreeable.,UNK
407,agreeable,easy,an agreeable person is easy to get along with.,UNK
408,agreeable,fact,that was an agreeable fact.,UNK
409,agreeable,friendly,an agreeable person is friendly.,UNK
410,agreeable,friendly,an agreeable person tends to be friendly.,UNK
411,agreeable,friendly,"when someone acts in an agreeable way, they come across more friendly.",UNK
412,agreeable,inexperienced,someone who is very agreeable may be inexperienced and completely relying on the person they are agreeing with.,UNK
413,agreeable,naive,for one to be agreeable to everything another says then they are naive,UNK
414,agreeable,nice,"when a person is agreeable, they seem to be nice.",UNK
415,agreeable,pushover,"if someone is too agreeable, they are a pushover.",UNK
416,agreeable,pushover,someone who is agreeable may also be referred to as a pushover.,UNK
417,agreeable,terms,"if parties are agreeable, the terms have been met.",UNK
418,agreeable,terms,the terms of the settlement were agreeable to both parties.,UNK
419,agreeable,willing,"when a person is willing to do something, they are considered agreeable.",Synonym
420,agreement,acceptance,i have to sign the agreement form as an acceptance of the norms.,UNK
421,agreement,arrangement,these arrangement are made for divorce agreement,UNK
422,agreement,bond,the agreement has a bond period of 2 years.,UNK
423,agreement,concession,the synonym for the word agreement is concession,UNK
424,agreement,contract,the word agreement is more associated with the word contract.,UNK
425,agreement,office,a lot of agreements take place in an office.,UNK
426,ahead,above,as he went above he could se further ahead.,UNK
427,ahead,behind,behind is the opposite of ahead.,UNK
428,ahead,behind,"if someone is ahead, then i must be behind, as they are opposites.",UNK
429,ahead,class,"to get ahead in this class, i really have to study hard.",UNK
430,ahead,forward,ahead is to move forward,UNK
431,ahead,forward,if you are ahead you are moving forward,UNK
432,ahead,front,ahead is to be in front of everyone,UNK
433,ahead,front,"if i am in front, i am ahead of everyone.",UNK
434,ahead,frontwards ,go ahead and take a seat while i set another place for seeing frontwards views.,UNK
435,ahead,further,you could describe something as being further ahead than something else.,UNK
436,ahead,help,every have to one come to ahead help with others,UNK
437,ahead,job,i want a job where it is possible to get ahead in the corporation.,UNK
438,ahead,life,i try to ahead my life,UNK
439,ahead,race,the race went ahead despite the weather.,UNK
440,ahead,race,"when i race, someone is always ahead of me.",UNK
441,ahead,runner,the runner was ahead of everyone in the race.,UNK
442,ahead,toward,yancey walked ahead of her towards my opinion,UNK
443,ahead,wellness,getting ahead in life means focusing on your wellness.,UNK
444,ahead,winning,if he pulled ahead he would be winning.,UNK
445,ahead,winning,if you are ahead of someone or something you are the one winning,UNK
446,airport,airplane,"as they drove up to the airport, numerous airplanes were in site.",UNK
447,airport,airplane,you ride in an airplane at the airport.,UNK
448,airport,crowded,the airport is always a crowded place.,UNK
449,airport,delayed,the airport was swarmed with people due to delayed flights.,UNK
450,airport,dia,dia is an international airport in denver.,UNK
451,airport,disaster,the disaster that happened at the airport was unforgettable.,UNK
452,airport,employee,the airport employee had to deal with a rude customer,UNK
453,airport,fly,i fly out of the austin airport when i travel.,UNK
454,airport,fly,when you go to an airport it is to fly on a plane,UNK
455,airport,lax,lax is an international airport in los angeles.,UNK
456,airport,luggage,you usually check in your luggage at the airport before travel,UNK
457,airport,plane,you can board a plane on the airport,UNK
458,airport,planes,airports are full of planes waiting to fly.,UNK
459,airport,runway,the runway at the airport is for planes to take off and land.,Location
460,airport,safety,the passenger was not worried about his safety at the airport because of all the security measures.,UNK
461,airport,security,airport security has been increased as of late.,UNK
462,airport,security,airport security is very tight as of late.,UNK
463,airport,security,the airport security had to pat a man down,UNK
464,airport,travel,if you are at an airport you are most likely about to travel,UNK
465,airport,vacation,i started my vacation by going to the airport.,UNK
466,album,art,the art shown on the album cover was so well done.,UNK
467,album,band,i have an album of my favorite band.,UNK
468,album,billboard,the billboard 100 has music from many albums,UNK
469,album,cover,the album cover looked amazing.,UNK
470,album,happiness,when see the old pictures in the album it gives the unlimited happiness.,UNK
471,album,memory,album contains more pictures and it gives more memory to us,UNK
472,album,memory,looking at photos in an album brings back memories.,UNK
473,album,music,an album has music on it.,UNK
474,album,music,i don't buy whole music albums anymore because i have spotify.,UNK
475,album,music,music is released in albums,UNK
476,album,music,musicians release albums of music.,UNK
477,album,music,the music album cost 15 dollars,UNK
478,album,music,they recorded the music for their new album in the studio next door.,UNK
479,album,photo,i like to look at old photo albums when i am feeling nostalgic.,UNK
480,album,photo,people put photos in albums for future generations to enjoy.,UNK
481,album,photo,the parents looked through their photo album,UNK
482,album,photos,i keep my photos in an album under my bed.,UNK
483,album,rap,many popular albums are rap albums,UNK
484,alert,alarm,the alarm came as an alert.,UNK
485,alert,alarm,the car alarm alerted the police.,UNK
486,alert,attention,the teacher asked for attention and the students suddenly were very alert.,UNK
487,alert,attentive,when someone is alert that person is attentive as well.,UNK
488,alert,awake,i am awake and alert first thing in the morning.,UNK
489,alert,awake,if you are awake then you are alert to your surroundings.,UNK
490,alert,aware,if you are alert you are aware of the situation.,UNK
491,alert,aware ,"an alert on my phone can make me aware of a situation, like a storm.",UNK
492,alert,emergency,her child was in an emergency and the mother was completely alert.,UNK
493,alert,energized,when i am alert i am energized.,UNK
494,alert,focused,staying alert means staying very focused.,UNK
495,alert,message,the message alert is gotten.,UNK
496,alert,notice,i sign in my google account every time in other device got it alert notice,UNK
497,alert,police,the police were alerted to the crime.,UNK
498,alert,siren,the sirens alerted us to a problem.,UNK
