,cue,association,explanation,relation
56,bring,carry,"when you bring something, you need to carry it.",Category-Exemplar-Pairs
57,bring,share,people bring dishes to a potluck to share with each other.,Result-In
58,bring,take,you must take the object to bring it with you.,Has-Prerequisite
59,broken,car,i cannot go shopping because my car is broken.,HasProperty
60,brought,took,the opposite of took it home with her is brought it here with her.,Antonym
61,bucket,wash,i use a bucket to wash my car.,Function
62,buddy,together,buddies love to spend time together.,Emotion-Evaluation
63,bunch,bananas,i buy a bunch of bananas every time i go to the grocery store.,Thematic
64,bunch,grapes,i like to set out a bunch of grapes for my family to snack on.,Thematic
65,bunch,roses,you very commonly find roses sold in a bunch.,Thematic
66,career,money,people earn money through their career.,Function
67,career,money,when you have a career it is to earn money,Function
68,career,work,the work you do for the rest of your life is considered your career.,Category-Exemplar-Pairs
69,careful,cautious,someone who is careful is usually cautious.,Synonym
70,careful,safe,"if you want to be careful, then you're trying to be safe.",Synonym
71,carnivore,prey,carnivore animals chase after and eat their prey.,Action
72,carrying,child,sometimes parents can be seen carrying their small child.,Action
73,casino,money,casinos are full of tons of money locked up.,Location
74,casino,money,i try to win money at the casino.,Location
75,casino,money,i won money at the casino.,Location
76,casino,money,there is lots of money exchanged at casinos,Location
77,castle,huge,a castle is made up of several huge towers.,HasProperty
78,castle,medieval,a castle is a large building commonly found in the medieval period.,Time
79,castle,stone,a castle is often made of stone.,Material-MadeOf
80,catcher,ball,a catcher usually catches a ball,Action
81,catcher,ball,the catcher threw the ball back to the pitcher.,Action
82,catcher,ball,the catcher threw the ball back.,Action
83,certain,sure,"when someone is sure about something, they are certain.",Synonym
84,champagne,beer,champagne and beer are both alcoholic drinks.,Members-of-the-same-Category
85,champagne,celebration,you drink champagne at a celebration.,Location
86,change,spare,some people save their spare change in a container.,Common-Phrase
87,change,tire,"if a tire goes flat, it has to be changed.",Action
88,chanting,crowd,the crowd at the game was chanting after the winning touchdown.,Action
89,chanting,crowd,the crowd was chanting for the home team,Action
90,chanting,crowd,the crowd was chanting the players name.,Action
91,charity,humanitarian,"when doing humanitarian work, it is usually connected to a charity.",Category-Exemplar-Pairs
92,chart,visual,a chart is a visual representation of data.,HasProperty
93,chase,run,"running after someone to catch them, is chasing them.",Category-Exemplar-Pairs
94,chase,seek,"when you are chasing someone, you are seeking them.",Synonym
95,cheap,frugal,"it is generally okay to be frugal, but that's different than being totally cheap.",Synonym
96,chicken,chicks,baby chickens are called chicks.,Category-Exemplar-Pairs
97,cholesterol,high,people need to make sure their cholesterol isn't high.,HasProperty
98,chomp,eat,a lot of people chomp when they eat.,Category-Exemplar-Pairs
99,chomp,eat,i always chomp the food i eat.,Action
100,chomp,eat,when one eats they often chomp with their mouth.,Category-Exemplar-Pairs
101,chomp,eat,"when you chomp at something, you eat it.",Category-Exemplar-Pairs
102,classy,elegant,his classy girlfriend always acts in an elegant manner.,Synonym
103,classy,stylist,kelly is classy and loves wearing stylist clothes.,Synonym
104,clean,neat,if your house is clean you may be a neat person.,Synonym
105,clean,neat,"jet is a neat child, his clothes are always clean.",Synonym
106,clean,neat,the space is clean and neat enough.,Synonym
107,clench,fist,people clench their fists when they get upset.,Action
108,clench,fist,when a person makes a fist they clench their fingers into a ball.,Action
109,client,courtesy,customer service representatives need to show courtesy to clients.,Action
110,client,money,companies make money by providing services to their clients.,Result-In
111,climber,health,a climber must be in good health.,HasProperty
112,clock,time,a clock can tell you time,Function
113,clock,time,clocks are used to tell time.,Function
114,clock,time,clocks tell you what time it is.,Function
115,clock,time,i watch the time on the clock,Function
116,clock,time,the clock indicated it was time to go to sleep.,Function
117,clock,time,the clock tells the time.,Function
118,clock,time,the clock told the wrong time.,Function
119,clock,time,we use clock to keep time.,Function
120,closed,business,this business has been closed for one month.,Action
121,closed,window,i closed the window because it was raining outside.,Action
122,clown,silly,clowns are very silly characters.,HasProperty
123,coach,leader,the coach was a leader for his team.,Category-Exemplar-Pairs
124,coating,dusting,a light dusting is considered a coating.,Synonym
125,colonel,sanders,colonel sanders is the man who started kentucky fried chicken or kfc.,Common-Phrase
126,comes,santa,kids know that santa comes on christmas eve.,Action
127,commander,authority,the commander is a person who is an authority figure.,HasProperty
128,commander,ship,a ship has a commander.,Location
129,comrade,friend,a comrade can also be considered your friend.,Synonym
130,comrade,friend,"he is my closest comrade, my friend i've known the longest.",Synonym
131,comrade,friend,i sometimes call my friend my comrade.,Synonym
132,comrade,friend,"if someone is your comrade, then they are your friend",Synonym
133,comrade,friend,"if someone is your comrade, then they are your friend.",Synonym
134,conceive,surrogate,some couples who cannot conceive will use a surrogate to carry a baby for them.,Function
135,concerned,worried,"when a person is worried about another person, they are concerned for them.",Synonym
136,contact,phone,i could contact her on the phone.,Function
137,contact,phone,i save the contact nember my phone,Location
138,contact,phone,we use our phones to contact people,Function
139,continue,persist,"if you persist with something, you continue on with it.",Synonym
140,contract,car,i signed a contract on a new car.,Action
141,contract,enforceable,a contract is a written agreement enforceable by law.,HasProperty
142,conundrum,problem,a conundrum is a problem that is hard to solve.,Category-Exemplar-Pairs
143,corner,street,streets meet and intersect at their corners.,PartOf
144,corporation,money,a corporation's goal is to make money.,Function
145,correct,test,"when a student takes a test, the teacher checks to see which answers are correct.",Thematic
146,correction,fix,"if you are making a correction, you are fixing something",Synonym
147,correction,fix,"in order to make the correction, he had to fix his mistake.",Has-Prerequisite
148,correction,fix,to fix the mistake is a needed correction.,Category-Exemplar-Pairs
149,correction,mistake,corrections are made to mistakes in written documents.,Action
150,cosmopolitan,city,many young people love living in a cosmopolitan city to experience the diverse culture.,Common-Phrase
151,cosmopolitan,modern,new york city is a modern cosmopolitan metropolis.,Synonym
152,court,judge,a judge presides over the court.,Location
153,court,judge,"in every court, you can find a judge making a decision.",Location
154,court,judge,judges preside over what happens in a court room.,Location
155,court,judge,the judge presided over the court.,Location
156,covered,discussed,if something has been covered then it's been discussed.,Synonym
157,covered,umbrella,people like to use an umbrella to be covered against the rain.,Function
158,cowgirl,boots,a cowgirl is known for wearing their cowgirl boots.,Common-Phrase
159,crazy,attack,the woman suddenly became crazy and attacked the people around her.,Result-In
160,crazy,girl,he is crazy about the beautiful girl.,Emotion-Evaluation
161,curvy,sewing,when sewing it is important to make sure your lines are not curvy.,Thematic
162,curvy,shape,curvy is a way to describe a shape of a person,HasProperty
163,curvy,shape,the lady has a curvy shape,HasProperty
164,curvy,shape,the shape looks so curvy.,HasProperty
165,curvy,shape,the woman had a very curvy shape,HasProperty
166,danger,robot,"the robot in the old tv show ""lost in space"" ran around saying danger! danger! all the time.",Thematic
167,darkness,light,darkness is the opposite of light.,Antonym
168,darkness,light,light is the opposite to darkness.,Antonym
169,darkness,light,the darkness of have without light.,Antonym
170,decipher,code,a code has to be deciphered,Action
171,decipher,code,a spy may decipher a secret code.,Action
172,decipher,code,codes are needed to decipher something.,Function
173,decipher,code,you must decipher a code.,Action
174,deflate,footballs,tom brady deflated footballs in a game in order to cheat.,Action
175,deluge,torrent,a deluge and a torrent are both big rushes of water.,Members-of-the-same-Category
176,design,pattern,an artistic design may be a pattern.,HasProperty
177,detective,columbo,columbo is a much-loved tv homicide detective.,Thematic
178,different,same,different is the opposite of same.,Antonym
179,different,strange,if something is different then it's often strange.,Synonym
180,dilute,concentration,"when someone dilutes a sample, they change the concentration of the sample.",Result-In
181,dinner,food,food is what people have for dinner as a meal.,PartOf
182,dinner,food,the food i ate at the dinner was delicious,Time
183,dinner,food,there was enough food for the dinner party.,Thematic
184,disaster,hurricane,a hurricane can cause a large disaster.,Result-In
185,disaster,hurricane,a hurricane is a good example of a natural disaster.,Category-Exemplar-Pairs
186,disaster,hurricane,a hurricane is a natural disaster.,Category-Exemplar-Pairs
187,disaster,natural,hurricanes are a natural disaster.,Common-Phrase
188,disaster,natural,natural calamities are also called natural disasters,Common-Phrase
189,disaster,natural,the natural disaster tore apart the neighborhood,Common-Phrase
190,disaster,natural,the natural disaster was unforeseen by the experts.,Common-Phrase
191,disaster,natural,tornadoes are a common type of natural disaster in my area.,Common-Phrase
192,discourse,conversation,engaging in discourse means that you are having a conversation.,Synonym
193,discriminate,race,people discriminate based on race.,Result-In
194,discriminate,race,sometimes people discriminate based only on race.,Has-Prerequisite
195,discuss,talk,i want to talk to you so we can discuss our finances.,Function
196,discuss,talk,to discuss something you must talk about it.,Category-Exemplar-Pairs
197,discuss,talk,"when we discuss a topic, we talk about all the details.",Synonym
198,discuss,talk,when you discuss something you talk it through.,Category-Exemplar-Pairs
199,dollar,cost,this book costs seven dollars.,Action
200,dollar,earn,i work hard to earn every dollar to make ends meet.,Action
201,domestic,home,"if someone spends most of their time at home taking care of their family, they are considered domestic.",Synonym
202,domestic,home,running your home well is being domestic.,Synonym
203,domestic,home,"when a person is domestic, they like to stay around home.",Synonym
204,dominant,aggressive,"when someone is very dominant, they may seem extra aggressive.",HasProperty
205,dressed,best,there are plenty of best-dressed lists for celebrities.,Common-Phrase
206,dressed,up,"there is a saying ""all dressed up with no place to go.""",Common-Phrase
207,drinking,alcoholic,an alcoholic is a person that has taken drinking too far.,Result-In
208,drinking,water,the thing that i mostly drink is water,Action
209,drinking,water,the town had a low supply of drinking water.,Common-Phrase
210,driving,permit,my daughter got a driving permit.,Has-Prerequisite
211,dropping,accident,dropping something is usually an accident.,Category-Exemplar-Pairs
212,dropping,names,"when someone is dropping names, they are using someone's name that they think will make them look better or bigger.",Common-Phrase
213,drove,car,he drove the car off the side of the cliff.,Action
214,drove,car,i couldn't wait to turn 16 so i could drive a car alone.,Action
215,drove,car,i drove my car today to the store.,Action
216,drove,car,the car drove really fast on the freeway.,Action
217,drove,car,the girl drove the car down the block,Action
218,education,school,you get an education in school.,Location
219,education,teacher,you get an education from your teacher.,Function
220,elated,relief,i can imagine being elated when i feel relief over something that i had been worried about.,Result-In
221,elevated,high,an elevated mountain is a high place.,Synonym
222,elevated,high,"if something is elevated, it is up high.",Synonym
223,elevated,high,the elevated floor was 6 inches high.,Synonym
224,eliminate,gone,"if something is eliminated, it is gone from the setting.",Result-In
225,emergency,ambulance,"if you have an emergency, you need to call an ambulance.",Result-In
226,enjoy,movie,she enjoys watching movies with her boyfriend.,Emotion-Evaluation
227,enjoy,music,i enjoy listening to my favorite music.,Emotion-Evaluation
228,evidence,helpful,evidence is helpful to solve a crime.,HasProperty
229,evidence,police,police find the evidence in the crime place.,Action
230,evidence,police,police had the evidence to arrest the thief.,Thematic
231,evidence,police,the police collate the evidence,Action
232,evidence,proof,evidence is proof of an occurrence of a crime.,Synonym
233,exceed,expectations,exceeding is going beyond expectations.,Synonym
234,exceed,expectations,she was a great fit who exceeded expectations.,Common-Phrase
235,exceed,speed,"when a driver gets caught exceeding the speed limit, they get a ticket.",Action
236,excellent,perfect,the closest to excellent is perfect,Synonym
237,faithful,committed,being faithful in a relationship involves being committed to the other person.,Members-of-the-same-Category
238,faithful,respect,i do my best to show my friends that i respect and am faithful to them.,Members-of-the-same-Category
239,fancy,feast,fancy feast is a brand name of cat food.,Common-Phrase
240,fantasy,movie,toy story is an example of a fantasy movie.,Common-Phrase
241,fatherly,figure,"he wasn't my dad, but he was a fatherly figure.",Common-Phrase
242,fatherly,figure,my life would benefit greatly from the influence of a healthy fatherly figure,Common-Phrase
243,fatherly,figure,the boy saw his uncle as a fatherly figure,Common-Phrase
244,favor,prefer,"i favor apples over oranges, which means i prefer apples.",Synonym
245,favor,prefer,i prefer hiking over playing video games because i favor the outdoors.,Synonym
246,favor,prefer,if you favor something you prefer it.,Synonym
247,favor,prefer,to favor pizza usually means you prefer pizza over the other meal choices.,Synonym
248,flashlight,bright,a flashlight has to be bright in order for it to be useful.,HasProperty
249,floor,area,a floor covers a large area.,PartOf
250,floor,hard,a floor is made from a hard foundation.,HasProperty
251,flowing,water,the water is flowing down the gutter.,Action
252,flowing,water,water flows when you turn on the faucet.,Action
253,flowing,water,water is often seen flowing through hills and valleys.,Action
254,flowing,waves,the waves appear to be flowing down the coastline.,HasProperty
255,following,after,"if something is following something else, then it comes after.",Synonym
256,following,fans,if someone has a big following then they have fans.,Category-Exemplar-Pairs
257,forgive,forget,forgive and forget is a useful cliche,Common-Phrase
258,forgive,forget,they always say forgive and forget.,Common-Phrase
259,forgive,forget,they say people must forgive and forget to get true closure.,Common-Phrase
260,forgive,forget,you have to forgive and forget.,Common-Phrase
261,freedom,independent,freedom is when you are independent from your parents.,Synonym
262,friend,best,everyone needs to have a best friend,Common-Phrase
263,friend,best,i have one best friend.,Common-Phrase
264,friend,best,my dog is my best friend.,Common-Phrase
265,friend,best,the girl hung out with her best friend daily,Common-Phrase
266,funny,story,he always tell funny stories to entertain his friends.,Common-Phrase
267,gelatin,dessert,fruit flavored gelatin is served for dessert.,Function
268,gelatin,dessert,the gelatin was served for dessert,Function
269,genius,brilliant,a genius always has a brilliant performance in many tasks compared with average people.,HasProperty
270,giving,donation,goodwill is a company that relies on people giving donations of products.,Action
271,giving,kind,giving a gift to someone is very kind.,Emotion-Evaluation
272,giving,taking,the opposite of giving is taking.,Antonym
273,glass,break,it is easy to break glass.,Action
274,glass,drinking,you put beverages in a drinking glass.,Common-Phrase
275,glasses,bifocals,bifocals are a type of glasses to help people see.,Category-Exemplar-Pairs
276,glittery,bright,the glittery jewels are very bright.,HasProperty
277,glittery,decorate,i use glittery stuff to decorate the christmas tree.,HasProperty
278,glutton,food,a glutton eats too much food.,Action
279,glutton,overeat,a glutton is a person who overeats.,HasProperty
280,goalie,save,another job of the goalie is to save the shots on the goal,Action
281,goalie,save,"the goalie had a great night, making a save on all but one of the shots he faced.",Action
282,goalie,save,the goalie reached his glove out and made a big save,Action
283,goalie,score,the job of the goalie is to make sure the other team does not score.,Function
284,going,leaving,"when someone is going somewhere, they are leaving the place they are currently.",Synonym
285,going,traveling,if you are going somewhere then you're traveling to that place.,Synonym
286,goodness,appraised,his goodness is always appraised by his coworkers.,Action
287,goodness,benevolence,benevolence is a sign of goodness in a person.,Synonym
288,grand,adventure,we had a grand adventure.,Common-Phrase
289,grand,large,"if an object is said to be grand, it means very large.",Synonym
290,grandmother,mom,my mom's mother is my grandmother.,Category-Exemplar-Pairs
291,grater,cheese,a grater is great to make shredded cheese.,Function
292,grater,cheese,he shredded the cheese with the grater.,Function
293,grater,cheese,i use a grater to grate cheese for my meal.,Function
294,grater,cheese,sometimes you need to use a grater to grate cheese,Function
295,green,grass,grass is sometimes green colored.,HasProperty
296,green,grass,he was proud of his lawn; the green grass looked perfect.,HasProperty
297,green,grass,see how all the grasses in her garden are green and beautiful.,HasProperty
298,green,grass,the grass in my yard was especially green.,HasProperty
299,greeter,hello,a greeter at a store is supposed to say hello.,Function
300,greeter,hello,the greeter said hello to the shopper.,Action
301,greeter,hello,you say hello when you are welcomed by a greeter,Action
302,grinding,shiny,grinding makes metallic objects look shiny.,Result-In
303,group,people,a group is composed of many people.,PartOf
304,group,people,people often form a group to work more efficiently.,Action
305,group,people,the group of people responsible for the vandalism were caught by the police.,PartOf
306,growing,bigger,the baby's head has been growing bigger since birth.,Common-Phrase
307,guess,answer,students are asked to guess the answer to a difficult question.,Action
308,guess,designer,guess is a designer fashion company.,Category-Exemplar-Pairs
309,guess,insufficient,i guess the answer to the question with insufficient information given.,Result-In
310,guess,unsure,"if a person is unsure about something, they make a guess.",Result-In
311,guest,show,many celebrities visit a talk show as a guest to promote their latest project.,Location
312,gypsy,europe,gypsies now mainly live in europe.,Location
313,gypsy,natalie,natalie wood played gypsy rose lee in a movie.,Action
314,gypsy,people,gypsies are people that originated in northern india.,Category-Exemplar-Pairs
315,gypsy,rose,gypsy rose lee was a famous stripper.,Common-Phrase
316,happening,current,i like to read about current events that are happening.,Time
317,happening,flop,"the movie, the happening, was a major hollywood flop.",Thematic
318,happening,wahlberg,mark wahlberg starred in a movie called the happening.,Thematic
319,hatch,chicken,"when chicken's eggs hatch, chicks are born.",Action
320,heaven,god,heaven is the place where one can be with god.,Location
321,heaven,god,heaven is where god lives.,Location
322,heaven,god,it is said that heaven and hell were created by god.,Action
323,hitch,interrupt,the hitch in the job has interrupted the progress.,Action
324,hitch,problem,the hitch in the task caused a problem to the team.,Result-In
325,holding,carrying,if you're holding something then you're carrying it.,Synonym
326,honey,sweet,honey is a very sweet substance.,HasProperty
327,horrified,disgusted,horrified is another way to say disgusted.,Synonym
328,hotel,brolin,"james brolin starred in a tv show called ""hotel.""",Thematic
329,hotel,reservations,it is a good idea to make reservations at a hotel before your trip.,Action
330,humane,animals,people try to act in a humane way toward animals.,Thematic
331,humane,ethical,"if someone is humane, they act in an ethical way.",Synonym
332,hungry,food,i am so hungry i need food now.,Result-In
333,hungry,food,"if you are hungry, make some food.",Action
334,hungry,food,when a person is hungry...they want some food.,Has-Prerequisite
335,hungry,food,"when i am hungry, i need to eat food.",Has-Prerequisite
336,hungry,food,"when you're hungry, you need food.",Result-In
337,hungry,stomach,an empty stomach can make you ferl hungry,Result-In
338,hungry,stomach,an empty stomach leads to being hungry.,Result-In
339,hungry,stomach,my stomach is growling because i'm hungry.,Result-In
340,hydrate,exercise,i try to make sure i hydrate when i exercise.,Action
341,idiom,advice,an idiom can be used to give advice in an easy to understand way.,Function
342,idiom,comparison,an idiom uses a comparison to something unrelated.,Function
343,idiotic,stupid,he looked idiotic and stupid pulling that prank.,Synonym
344,idiotic,stupid,if someone is idiotic then they are stupid.,Synonym
345,idiotic,stupid,"if something is called idiotic, it can also be called stupid.",Synonym
346,idiotic,stupid,you come across as stupid when you say idiotic things.,Synonym
347,igloo,cold,an igloo is very cold to the touch.,HasProperty
348,igloo,cold,inside an igloo it is cold because its surrounded by ice.,HasProperty
349,igloo,cold,the igloo is a cold place,HasProperty
350,igloo,cold,the igloo wasn't so cold inside.,HasProperty
351,igloo,cold,the outside of an igloo is usually cold.,HasProperty
352,igloo,cold,"when it's cold, you can build an igloo out of snow.",Has-Prerequisite
353,ignition,car,you put a key in the ignition in a car to start it.,PartOf
354,ignition,flames,the flames are still growing for a while after ignition.,Result-In
355,ignition,fuel,i added some diesel fuel to the engine to allow ignition.,Has-Prerequisite
356,implement,enact,to implement something is to enact it.,Synonym
357,impossible,achieve,my boss loves to set business goals that are impossible to achieve.,Emotion-Evaluation
358,impossible,cruise,tom cruise stars in the mission impossible movies.,Thematic
359,impossible,situation,he always put himself in an impossible situation.,Common-Phrase
360,impossible,unable,"when someone is unable to do something, they find it impossible.",Synonym
361,improbable,impossible,if something is improbable then it's almost impossible.,Members-of-the-same-Category
362,indecent,exposed,"if someone goes to school with their cleavage exposed, it is considered indecent.",Result-In
363,information,facts,facts are a kind of information.,Category-Exemplar-Pairs
364,instant,hurried,wanting something in an instant means you want it very hurried.,Synonym
365,interest,hobbies,your interests are usually the same things you do for your hobbies.,Synonym
366,interested,intrigued,"when you are intrigued by something, you become interested in it.",Synonym
367,intuitive,gut,an intuitive person believes in their gut feelings.,HasProperty
368,jacket,fall,"in the fall, i usually wear a jacket to keep warm.",Time
369,jungle,book,"rudyard kipling wrote ""the jungle book.""",Common-Phrase
370,jungle,exotic,the jungle sounds very exotic.,HasProperty
371,junior,schwarzenegger,"arnold schwarzenegger starred in a movie called ""junior""",Thematic
372,laughter,kids,laughter is often heard when many kids are together.,Action
373,laughter,playground,much laughter can be heard on a playground.,Location
374,leaves,autumn,autumn is the time of year when leaves fall from the trees.,Time
375,leaves,autumn,part of what makes autumn my favorite season is getting to view the beautiful leaves.,Time
376,leaves,autumn,the leaves started to fall in autumn,Time
377,leaving,denver,"john denver wrote a song called ""leaving on a jet plane.""",Thematic
378,legal,case,a case could be legal or not.,HasProperty
379,lesson,learn,i always learn the good lesson,Action
380,lesson,learn,"in my afternoon lesson, i learned a great deal.",Location
381,lesson,learn,to know a lesson you have to learn about it,Has-Prerequisite
382,lesson,learn,you go to school so that you can learn lessons.,Action
383,liberty,freedom,liberty means having freedom to do what you like.,Synonym
384,liberty,freedom,people believe in liberty and freedom.,Synonym
385,liberty,freedom,"we have the freedom here to speak freely, so our liberty is very important.",Has-Prerequisite
386,lieutenant,army,the lieutenant had served in the army for ten years,PartOf
387,lieutenant,army,the lieutenant in the army made a risky decision,PartOf
388,lieutenant,army,the lieutenant was enlisted in the army.,PartOf
389,lieutenant,officer,a lieutenant is a commissioned officer in the armed forces.,Category-Exemplar-Pairs
390,lieutenant,substitute,the lieutenant is a substitute for the captain.,Function
391,listening,friend,a friend is a person you can turn to when you need someone to listen.,Action
392,lobby,space,a lobby is a large space for waiting.,Category-Exemplar-Pairs
393,lonely,alone,the god looked lonely as she was all alone.,Emotion-Evaluation
394,lonely,alone,when you are alone you can become lonely.,Emotion-Evaluation
395,lonely,depressed,when you become too lonely you will probably be depressed as well.,Result-In
396,loosen,release,if you loosen a knot it releases.,Result-In
397,lord,god,god is the lord of the universe.,Synonym
398,lord,god,lord is used to refer to god in prayer.,Synonym
399,lord,god,"the lord is seen as the father, the son, and the only spirit, which means god.",Synonym
400,lover,doris,"""lover come back"" is a movie with doris day and rock hudson.",Thematic
401,lover,simon,"paul simon wrote a song called ""50 ways to leave your lover.""",Thematic
402,loving,caretaker,caretakers act very loving towards their children.,Emotion-Evaluation
403,loving,tender,everyone should try to be loving and tender to their family.,Members-of-the-same-Category
404,magazine,celebrities,celebrities usually cover the pages of magazines.,Location
405,magazine,vogue,vogue is an american fashion and lifestyle magazine.,Category-Exemplar-Pairs
406,majority,most,majority is another way to say most.,Synonym
407,makeup,beautiful,i wear makeup in the morning to look more beautiful.,Function
408,makeup,colorful,some makeup has colorful shades.,HasProperty
409,melted,chocolate,chocolate must be melted to make candy.,Action
410,melted,chocolate,i melted the chocolate to make candy.,Action
411,melted,chocolate,"to make candy, the chocolate must be melted.",Action
412,memory,mind,your memory comes from your mind.,PartOf
413,miles,distance,"although they were once good friends, there was now considerable distance between them small miles",Category-Exemplar-Pairs
414,miles,distance,i can cover a lot of distance if i run for miles.,Thematic
415,miles,distance,"she can run for many miles, so her distance is high.",Thematic
416,miles,distance,the distance covered is 50 miles.,Thematic
417,military,army,a large branch of the military is the army,PartOf
418,military,army,our military has a large army branch.,PartOf
419,military,army,the military has a vast army.,PartOf
420,military,army,the us army is one branch of our military.,PartOf
421,millions,money,my father saw the millions of money in his life.,Thematic
422,millions,money,some who has millions of dollars has a ton of money.,Thematic
423,millions,money,the money stolen read millions of notes.,Thematic
424,misguided,wrong,"when someone has been misguided, they have been given the wrong facts.",Synonym
425,mission,secret,a secret mission is something that spies go on.,Common-Phrase
426,mommy,child,a child often wants their mommy.,Thematic
427,mommy,daddy,a mommy and a daddy are often a child's parents.,Members-of-the-same-Category
428,monster,green,the green monster is the famous wall in fenway park.,Common-Phrase
429,month,july,independence day is in the month of july.,Category-Exemplar-Pairs
430,mountain,fuji,mt. fuji is a famous mountain in japan.,Category-Exemplar-Pairs
431,movie,scripted,movies are scripted stories about life.,HasProperty
432,moving,poignant,"if i find a poem moving, i would also find that poem poignant.",Synonym
433,nature,beautiful,nature is all of the beautiful scenery outside.,HasProperty
434,necessary,needed,"if something is necessary, you most likely need it.",Synonym
435,necessary,needed,something you needed is a necessary thing,Synonym
436,necessary,needed,water is a necessary supply that is needed for our survival.,Synonym
437,obedient,listens,"if your child is obedient, they listen when you tell them what to do.",Has-Prerequisite
439,obstruct,plan,i will not let anyone obstruct my plan.,Action
440,operator,phone,you used to be able to talk to an operator on the phone.,Thematic
441,operator,sade,"sade sang the song ""smooth operator.""",Thematic
442,operator,user,"if someone is an operator of something, then they're a user of it.",Synonym
443,opinion,disagreement,"sometimes when people state their opinions, it can lead to a disagreement.",Result-In
444,order,fries,a lot of people order fries with their meals.,Action
445,organization,company,a company can also be called an organization.,Synonym
446,outspoken,loud,people who are outspoken often speak loudly.,HasProperty
447,outspoken,vehement,if someone is outspoken they are often vehement in their beliefs.,HasProperty
448,overdue,book,books can be overdue at the library.,Time
449,overdue,fine,"if a book is overdue at the library, you pay a fine.",Result-In
450,paper,plastic,paper and plastic are two options for bags.,Members-of-the-same-Category
451,passing,another,passing on a road involves one car going past another car.,Action
452,passing,by,"when someone walks past you, they are just passing by.",Common-Phrase
453,passing,cautious,i am cautious when passing another vehicle.,Action
454,patient,hospital,a hospital has many patients.,Location
455,payment,money,i want to receive money as my payment.,Function
456,payment,money,"if someone makes a payment, they need to use some form of money to do so.",Function
457,payment,money,in order to make a payment you need money,Has-Prerequisite
458,payment,money,payments can be made using money.,Function
