,cue,association,explanation,relation
110,client,money,companies make money by providing services to their clients.,Result-In
111,climber,health,a climber must be in good health.,HasProperty
120,closed,business,this business has been closed for one month.,Action
122,clown,silly,clowns are very silly characters.,HasProperty
123,coach,leader,the coach was a leader for his team.,Category-Exemplar-Pairs
124,coating,dusting,a light dusting is considered a coating.,Synonym
125,colonel,sanders,colonel sanders is the man who started kentucky fried chicken or kfc.,Common-Phrase
126,comes,santa,kids know that santa comes on christmas eve.,Action
127,commander,authority,the commander is a person who is an authority figure.,HasProperty
128,commander,ship,a ship has a commander.,Location
134,conceive,surrogate,some couples who cannot conceive will use a surrogate to carry a baby for them.,Function
135,concerned,worried,"when a person is worried about another person, they are concerned for them.",Synonym
139,continue,persist,"if you persist with something, you continue on with it.",Synonym
140,contract,car,i signed a contract on a new car.,Action
141,contract,enforceable,a contract is a written agreement enforceable by law.,HasProperty
143,corner,street,streets meet and intersect at their corners.,PartOf
144,corporation,money,a corporation's goal is to make money.,Function
145,correct,test,"when a student takes a test, the teacher checks to see which answers are correct.",Thematic
148,correction,fix,to fix the mistake is a needed correction.,Category-Exemplar-Pairs
156,covered,discussed,if something has been covered then it's been discussed.,Synonym
157,covered,umbrella,people like to use an umbrella to be covered against the rain.,Function
159,crazy,attack,the woman suddenly became crazy and attacked the people around her.,Result-In
160,crazy,girl,he is crazy about the beautiful girl.,Emotion-Evaluation
161,curvy,sewing,when sewing it is important to make sure your lines are not curvy.,Thematic
175,deluge,torrent,a deluge and a torrent are both big rushes of water.,Members-of-the-same-Category
176,design,pattern,an artistic design may be a pattern.,HasProperty
177,detective,columbo,columbo is a much-loved tv homicide detective.,Thematic
178,different,same,different is the opposite of same.,Antonym
179,different,strange,if something is different then it's often strange.,Synonym
180,dilute,concentration,"when someone dilutes a sample, they change the concentration of the sample.",Result-In
200,dollar,earn,i work hard to earn every dollar to make ends meet.,Action
204,dominant,aggressive,"when someone is very dominant, they may seem extra aggressive.",HasProperty
206,dressed,up,"there is a saying ""all dressed up with no place to go.""",Common-Phrase
207,drinking,alcoholic,an alcoholic is a person that has taken drinking too far.,Result-In
210,driving,permit,my daughter got a driving permit.,Has-Prerequisite
219,education,teacher,you get an education from your teacher.,Function
220,elated,relief,i can imagine being elated when i feel relief over something that i had been worried about.,Result-In
224,eliminate,gone,"if something is eliminated, it is gone from the setting.",Result-In
225,emergency,ambulance,"if you have an emergency, you need to call an ambulance.",Result-In
226,enjoy,movie,she enjoys watching movies with her boyfriend.,Emotion-Evaluation
227,enjoy,music,i enjoy listening to my favorite music.,Emotion-Evaluation
228,evidence,helpful,evidence is helpful to solve a crime.,HasProperty
232,evidence,proof,evidence is proof of an occurrence of a crime.,Synonym
235,exceed,speed,"when a driver gets caught exceeding the speed limit, they get a ticket.",Action
236,excellent,perfect,the closest to excellent is perfect,Synonym
237,faithful,committed,being faithful in a relationship involves being committed to the other person.,Members-of-the-same-Category
238,faithful,respect,i do my best to show my friends that i respect and am faithful to them.,Members-of-the-same-Category
240,fantasy,movie,toy story is an example of a fantasy movie.,Common-Phrase
248,flashlight,bright,a flashlight has to be bright in order for it to be useful.,HasProperty
249,floor,area,a floor covers a large area.,PartOf
250,floor,hard,a floor is made from a hard foundation.,HasProperty
254,flowing,waves,the waves appear to be flowing down the coastline.,HasProperty
256,following,fans,if someone has a big following then they have fans.,Category-Exemplar-Pairs
261,freedom,independent,freedom is when you are independent from your parents.,Synonym
266,funny,story,he always tell funny stories to entertain his friends.,Common-Phrase
270,giving,donation,goodwill is a company that relies on people giving donations of products.,Action
271,giving,kind,giving a gift to someone is very kind.,Emotion-Evaluation
272,giving,taking,the opposite of giving is taking.,Antonym
273,glass,break,it is easy to break glass.,Action
274,glass,drinking,you put beverages in a drinking glass.,Common-Phrase
275,glasses,bifocals,bifocals are a type of glasses to help people see.,Category-Exemplar-Pairs
277,glittery,decorate,i use glittery stuff to decorate the christmas tree.,HasProperty
278,glutton,food,a glutton eats too much food.,Action
279,glutton,overeat,a glutton is a person who overeats.,HasProperty
283,goalie,score,the job of the goalie is to make sure the other team does not score.,Function
284,going,leaving,"when someone is going somewhere, they are leaving the place they are currently.",Synonym
285,going,traveling,if you are going somewhere then you're traveling to that place.,Synonym
287,goodness,benevolence,benevolence is a sign of goodness in a person.,Synonym
288,grand,adventure,we had a grand adventure.,Common-Phrase
289,grand,large,"if an object is said to be grand, it means very large.",Synonym
290,grandmother,mom,my mom's mother is my grandmother.,Category-Exemplar-Pairs
306,growing,bigger,the baby's head has been growing bigger since birth.,Common-Phrase
309,guess,insufficient,i guess the answer to the question with insufficient information given.,Result-In
310,guess,unsure,"if a person is unsure about something, they make a guess.",Result-In
312,gypsy,europe,gypsies now mainly live in europe.,Location
313,gypsy,natalie,natalie wood played gypsy rose lee in a movie.,Action
314,gypsy,people,gypsies are people that originated in northern india.,Category-Exemplar-Pairs
315,gypsy,rose,gypsy rose lee was a famous stripper.,Common-Phrase
316,happening,current,i like to read about current events that are happening.,Time
317,happening,flop,"the movie, the happening, was a major hollywood flop.",Thematic
318,happening,wahlberg,mark wahlberg starred in a movie called the happening.,Thematic
319,hatch,chicken,"when chicken's eggs hatch, chicks are born.",Action
323,hitch,interrupt,the hitch in the job has interrupted the progress.,Action
324,hitch,problem,the hitch in the task caused a problem to the team.,Result-In
325,holding,carrying,if you're holding something then you're carrying it.,Synonym
328,hotel,brolin,"james brolin starred in a tv show called ""hotel.""",Thematic
329,hotel,reservations,it is a good idea to make reservations at a hotel before your trip.,Action
330,humane,animals,people try to act in a humane way toward animals.,Thematic
340,hydrate,exercise,i try to make sure i hydrate when i exercise.,Action
341,idiom,advice,an idiom can be used to give advice in an easy to understand way.,Function
342,idiom,comparison,an idiom uses a comparison to something unrelated.,Function
353,ignition,car,you put a key in the ignition in a car to start it.,PartOf
355,ignition,fuel,i added some diesel fuel to the engine to allow ignition.,Has-Prerequisite
356,implement,enact,to implement something is to enact it.,Synonym
358,impossible,cruise,tom cruise stars in the mission impossible movies.,Thematic
361,improbable,impossible,if something is improbable then it's almost impossible.,Members-of-the-same-Category
362,indecent,exposed,"if someone goes to school with their cleavage exposed, it is considered indecent.",Result-In
363,information,facts,facts are a kind of information.,Category-Exemplar-Pairs
364,instant,hurried,wanting something in an instant means you want it very hurried.,Synonym
366,interested,intrigued,"when you are intrigued by something, you become interested in it.",Synonym
367,intuitive,gut,an intuitive person believes in their gut feelings.,HasProperty
368,jacket,fall,"in the fall, i usually wear a jacket to keep warm.",Time
369,jungle,book,"rudyard kipling wrote ""the jungle book.""",Common-Phrase
370,jungle,exotic,the jungle sounds very exotic.,HasProperty
371,junior,schwarzenegger,"arnold schwarzenegger starred in a movie called ""junior""",Thematic
372,laughter,kids,laughter is often heard when many kids are together.,Action
373,laughter,playground,much laughter can be heard on a playground.,Location
377,leaving,denver,"john denver wrote a song called ""leaving on a jet plane.""",Thematic
378,legal,case,a case could be legal or not.,HasProperty
389,lieutenant,officer,a lieutenant is a commissioned officer in the armed forces.,Category-Exemplar-Pairs
390,lieutenant,substitute,the lieutenant is a substitute for the captain.,Function
391,listening,friend,a friend is a person you can turn to when you need someone to listen.,Action
392,lobby,space,a lobby is a large space for waiting.,Category-Exemplar-Pairs
396,loosen,release,if you loosen a knot it releases.,Result-In
401,lover,simon,"paul simon wrote a song called ""50 ways to leave your lover.""",Thematic
402,loving,caretaker,caretakers act very loving towards their children.,Emotion-Evaluation
403,loving,tender,everyone should try to be loving and tender to their family.,Members-of-the-same-Category
404,magazine,celebrities,celebrities usually cover the pages of magazines.,Location
405,magazine,vogue,vogue is an american fashion and lifestyle magazine.,Category-Exemplar-Pairs
406,majority,most,majority is another way to say most.,Synonym
407,makeup,beautiful,i wear makeup in the morning to look more beautiful.,Function
408,makeup,colorful,some makeup has colorful shades.,HasProperty
412,memory,mind,your memory comes from your mind.,PartOf
415,miles,distance,"she can run for many miles, so her distance is high.",Thematic
426,mommy,child,a child often wants their mommy.,Thematic
428,monster,green,the green monster is the famous wall in fenway park.,Common-Phrase
429,month,july,independence day is in the month of july.,Category-Exemplar-Pairs
430,mountain,fuji,mt. fuji is a famous mountain in japan.,Category-Exemplar-Pairs
431,movie,scripted,movies are scripted stories about life.,HasProperty
432,moving,poignant,"if i find a poem moving, i would also find that poem poignant.",Synonym
437,obedient,listens,"if your child is obedient, they listen when you tell them what to do.",Has-Prerequisite
439,operator,phone,you used to be able to talk to an operator on the phone.,Thematic
440,operator,sade,"sade sang the song ""smooth operator.""",Thematic
441,operator,user,"if someone is an operator of something, then they're a user of it.",Synonym
442,opinion,disagreement,"sometimes when people state their opinions, it can lead to a disagreement.",Result-In
443,order,fries,a lot of people order fries with their meals.,Action
445,outspoken,loud,people who are outspoken often speak loudly.,HasProperty
446,outspoken,vehement,if someone is outspoken they are often vehement in their beliefs.,HasProperty
448,overdue,fine,"if a book is overdue at the library, you pay a fine.",Result-In
450,passing,another,passing on a road involves one car going past another car.,Action
451,passing,by,"when someone walks past you, they are just passing by.",Common-Phrase
452,passing,cautious,i am cautious when passing another vehicle.,Action
453,patient,hospital,a hospital has many patients.,Location
458,pensive,elderly,an elderly person can appear pensive when they are deep in thought.,HasProperty
459,permission,allow,"if i give my child permission to spend the night at a friends, i am allowing them to sleep there.",Synonym
461,permission,school,"to go on the school field trip, a student needs a permission slip signed by their parent.",Has-Prerequisite
463,permission,warrant,the search warrant grants permission to the police to search the suspect's home.,Result-In
468,plague,death,plagues usually result in many deaths.,Result-In
469,planet,pluto,scientist have decided pluto is only a dwarf planet.,Category-Exemplar-Pairs
470,platypus,eggs,a platypus is a mammal that lays eggs.,Action
473,pocket,back,jeans usually always have back pockets.,Common-Phrase
478,poison,dangerous,poison is a dangerous substance and should be kept away from children.,HasProperty
481,position,second,second is a position in ballet.,Thematic
482,position,third,third is a position in ballet.,Category-Exemplar-Pairs
483,possibility,anything,possibilities mean anything can happen.,Result-In
484,possibility,choose,i need to choose an answer out of several possibilities.,Action
486,possibility,odds,many people bet the odds for a possibility of winning a bet.,Thematic
488,possible,chance,"if something is possible, there is a chance that it might happen.",Synonym
489,possible,could,anything that is possible could happen.,Has-Prerequisite
490,possible,viable,"if something is viable, it may be possible.",Synonym
491,powder,face,some people put powder on their face.,Location
495,prepared,plan,having a plan for something makes you feel more prepared.,Result-In
496,pressure,constraint,constraints can build up pressure and force.,Result-In
497,priest,religious,a priest is a religious leader.,HasProperty
498,princess,daughter,the princess is the daughter of the king and queen.,Category-Exemplar-Pairs
499,printer,cartridge,an ink cartridge needs to be installed in a printer.,PartOf
504,priority,concern,your top priority is your main concern.,Synonym
505,priority,rush,"when something at the post office needs to be rushed, it will be stamped priority.",Has-Prerequisite
507,prohibition,denied,prohibition denied citizens the right to drink alcohol.,Action
511,promote,good,he gets promoted due to his good job performance.,Has-Prerequisite
513,protect,rights,the constitution is meant to protect the rights of all americans.,Function
514,prove,theory,scientists like to prove a theory.,Action
516,publicity,press,the press fill us in on all the celebrity's news and publicity.,Function
517,pulse,heart,a person's pulse measures their heart rate.,Function
518,purpose,meaning,the purpose of something is its meaning for existing.,Synonym
519,purpose,reason,something's purpose is its reason for being.,Synonym
520,quick,fast,he is running fast to the bus stop to quickly get into the bus.,Synonym
521,quick,time,i cook quickly in the evening so my family has more time to eat dinner.,Time
522,radar,speeding,a police officer can detect speeding with a radar gun.,Function
523,radioactive,atoms,"when the atoms of an element break apart, it produces radioactive energy.",Result-In
525,radioactive,nuclear,nuclear energy uses things that are radioactive.,HasProperty
527,rational,smart,you are smart if you think in a rational way.,HasProperty
531,ready,start,if you say you are ready then you want to start.,Time
533,realistic,pragmatic,a pragmatic person looks at life in a realistic way.,Synonym
534,reality,fantasy,fantasy is the opposite of reality.,Antonym
535,reality,life,humans have to face the reality of life.,Common-Phrase
537,reality,living,it is good to live in reality.,Action
538,reason,accept,his boss accepted his reason for resignation.,Action
539,reason,persuade,i need to think of a strong reason to persuade my kids to cut screening time.,Has-Prerequisite
540,record,audio,a record is a device that stores audio.,PartOf
545,refreshment,water,water is the best refreshment on the planet.,Category-Exemplar-Pairs
546,refuge,safe,"when you are given refuge, you can feel safe.",Has-Prerequisite
547,refuge,security,a refuge is a place of security.,Synonym
548,reign,king,a king reigns over his kingdom and people.,Function
549,reign,subjects,a ruler reigns over his loyal subjects.,Action
550,relationship,close,i had a close relationship with my parents.,Common-Phrase
551,report,sound,a firework with report will make a loud sound.,HasProperty
552,responsible,adult,adults have a lot of pressure to be responsible.,HasProperty
559,retrospect,past,"when i think in retrospect, i think of things that happened in the past.",Time
561,roller,spin,a roller ball is made to spin.,Function
562,roman,empire,the roman empire is an ancient country.,Common-Phrase
564,round,circle,circles are round in shape.,HasProperty
567,runny,mucus,the runny implies a nose rilled with mucus,HasProperty
569,safe,relieved,a person gets relieved when he goes to safe place.,Result-In
573,salad,dressing,the secret to a great salad is the dressing.,Emotion-Evaluation
574,salsa,spicy,salsa is usually good and spicy.,HasProperty
575,sandpaper,wood,i use sandpaper to smooth the wood before staining.,Function
581,scared,ghost,most people are scared of ghost.,Emotion-Evaluation
582,scared,murder,the residents are scared of the recent murder occurred in the community.,Emotion-Evaluation
584,scout,investigate,"when you scout a prospect, you investigate them and their abilities.",Synonym
585,scrap,rid,when you scrap something you get rid of it,Synonym
586,senator,party,a senator belongs to a particular political party.,PartOf
588,sending,receiving,the opposite of sending something is receiving something.,Antonym
589,series,string,the television series is an interesting string of happenings put together.,PartOf
590,shadowy,dark,"in the dark, everything can look shadowy.",HasProperty
593,shaker,pepper,pepper is frequently kept in a shaker.,Location
594,shape,condition,"the shape an object is in, is the condition of it.",Synonym
598,shrivel,wither,"when a flower withers, it shrivels down in size.",Result-In
600,signal,indication,a signal is another word for an indication.,Synonym
601,signal,inform,a signal informs people what to do.,Function
602,signal,react,people react to the signal given.,Result-In
603,silver,spoon,i have a silver spoon from my grandmother.,Common-Phrase
604,silver,utensils,utensils are often silver colored.,HasProperty
605,simple,living,my philosophy on living is to keep everything simple.,Thematic
606,single,one,a single ice cream cone contains one scoop of ice cream.,Synonym
610,sister,daughter,my sister is my mother's daughter.,Members-of-the-same-Category
611,skill,hobby,some people have skills that they have turned into a hobby.,Result-In
612,skill,sports,some people have a high level of skill in sports.,Thematic
619,sling,long,a sling is a long strap used to support a weight.,HasProperty
620,sling,support,i use an arm sling to support my broken arm.,Function
623,soldier,tomb,the tomb of the unknown soldier is in arlington national cemetery.,Location
634,special,interesting,if something is special then it's often interesting.,Synonym
635,special,unique,something that is special is usually unique.,Synonym
637,stairs,floors,the stairs take you to different floors in the house.,PartOf
638,stall,car,if you don't shift correctly then your car can stall.,Action
639,stance,posture,having a good stance is the same as having good posture.,Synonym
640,standing,feet,my feet hurt when i've been standing for a long time.,Result-In
641,standing,posture,"when someone is standing, their posture can be observed.",Result-In
644,starting,show,the show will be starting.,Action
645,steady,endurance,running at a steady pace shows that you have endurance.,Has-Prerequisite
647,steady,stable,"when someone is steady, they are stable on their feet.",Synonym
648,stick,match,matches are usually in stick form.,HasProperty
650,story,author,authors write stories for a living.,Function
652,strand,thread,a strand of thread is used for sewing.,PartOf
653,strategic,calculated,a strategic plan is careful calculated.,Synonym
654,strategic,tactical,a strategic plan should be very tactical.,Synonym
659,support,politician,you can support a politician by putting a yard sign in your yard.,Action
660,supportive,helpful,being helpful to show you are supportive of a friend is great.,Synonym
664,surpass,excel,"when a person surpasses what they're are supposed to do, they excel.",Synonym
665,surprise,birthday,people like to surprise their loved ones with a party on their birthday.,Time
666,sweet,caroline,"neil diamond had a huge hit with the song ""sweet caroline.""",Common-Phrase
667,tablet,ipad,the ipad is one of the most popular tablets.,Category-Exemplar-Pairs
668,tactful,conversation,when having a conversation you have to be tactful with your words so you don't hurt anyone's feelings.,Action
669,tactful,words,"when trying to be tactful, you need to choose your words carefully.",Has-Prerequisite
676,thousand,years,a thousand years is a length of time.,Common-Phrase
677,throat,sore,a sore throat is associated with colds and flu.,HasProperty
678,tired,feel,i feel tired after a long day of work.,Emotion-Evaluation
679,tired,work,he is tired after working overtime for two days.,Result-In
680,total,all,the total number of an object includes all of them.,Synonym
681,tradition,jimmy,"many people have the tradition at christmas time of watching ""it's a wonderful life"" with jimmy stewart.",Thematic
684,twist,cap,you twist the cap off a bottle.,Action
685,understand,language,when someone speaks a second language they understand it.,Action
689,vacuum,noisy,a vacuum is noisy when it is working.,HasProperty
690,vampire,sharp,a vampire has two sharp teeth.,HasProperty
692,vegetation,food,vegetation is grown to make food for humans.,Function
693,vegetation,water,the process of vegetation requires supply of water.,Has-Prerequisite
694,violate,breach ,"when a building is breached, someone has violated the safety blocks.",Synonym
695,vivid,bright,"when a photo is vivid, the colors are very bright.",HasProperty
697,waste,bad,he has a bad habit of wasting food.,Emotion-Evaluation
698,waste,money,i do not like wasting money on unnecessary things.,Action
699,weekend,break,the weekend is a short break from work.,Time
700,weekend,yardwork,"this weekend, i will do yardwork.",Time
702,weeping,sad,if someone is weeping they are likely sad.,Category-Exemplar-Pairs
709,weirdo,unique,a weirdo is a unique person.,HasProperty
710,woman,breasts,a woman has breasts that are typically larger than a man.,PartOf
711,woman,pregnancy,a woman goes to the doctor during her pregnancy.,HasProperty
712,wonder,awe,"if you are in wonder of something, you are in awe of it.",Synonym
714,working,computer,most working people use a computer for many hours during the day.,Function
715,worried,scared,"when someone is worried about something, they are usually scared about that particular subject.",Synonym
717,wounds,heal,"with time, most wounds heal.",Action
718,wrath,punishment,"when parents give their child a punishment, the child is feeling the parents' wrath.",Emotion-Evaluation
723,writing,essay,she starts writing an essay for her college enrollment.,Action
724,yelling,loud,if someone is yelling then they're loud.,HasProperty
725,absent,present,present is the opposite of absent,Antonym
726,absent,present,present is the opposite of absent.,Antonym
727,absent,missing,absent is the synonym of the missing,Synonym
728,absent,present,the opposite of absent is present.,Antonym
729,absolute,vodka,absolute is a type of vodka though spelled differently,Category-Exemplar-Pairs
730,absolutely,totally,absolutely has a similar meaning as totally.,Synonym
731,absolutely,utterly,absolutely has a similar meaning as utterly.,Synonym
732,abstract,summary,an abstract can be said to be the summary of a publication.,Category-Exemplar-Pairs
733,abstract,concrete,abstract is the opposite of concrete.,Antonym
734,access,allow,to access something you often need to be allowed.,Has-Prerequisite
735,access,entry,access is a synonym for entry.,Synonym
736,actually,truly,actually is a synonym for truly.,Synonym
737,additive,addition ,additive is synonym of the addition,Synonym
738,adept,skillful,adept is a synonym for skillful.,Synonym
739,advantage,disadvantage,advantage is the opposite of disadvantage.,Antonym
740,advantage,edge,advantage has a similar meaning as edge.,Synonym
741,advertise,webads,webads are a form of online advertisement,Category-Exemplar-Pairs
742,advertise,marketing,advertising is a key part of marketing.,PartOf
744,agreeable,disagreeable,the opposite of agreeable is disagreeable.,Antonym
745,ahead,behind,behind is the opposite of ahead.,Antonym
746,alien,space,aliens live on other planets in space.,Location
747,alien,space,an alien comes from outer space.,Location
749,alien,space,there probably are aliens in outer space.,Location
750,ammunition,bullets,bullets are a type of ammunition.,Category-Exemplar-Pairs
755,angles,gradient,angle has a similar meaning as gradient.,Synonym
756,angles,slant,angle has a similar meaning as slant.,Synonym
757,animal,pet,animals in the household are considered pets.,Function
758,animal,bird,a bird is a type of animal.,Category-Exemplar-Pairs
760,animal,mammal,a mammal is a type of animal.,Category-Exemplar-Pairs
761,animal,beast,animal defined as the beast,Synonym
764,apartment,furnished,the apartment was expensive because it was fully furnished.,HasProperty
765,apartment,small,apartments can sometimes be small.,HasProperty
766,apartment,dwelling,an apartment is a type of dwelling.,Category-Exemplar-Pairs
767,apartment,flat,apartment has a similar meaning as flat.,Synonym
768,apple,green,he bit into the green apple.,HasProperty
769,apple,red,the red apple fell off the tree.,HasProperty
771,apple,fruit,an apple is a sweet fruit.,Category-Exemplar-Pairs
773,apple,fruit,an apple is one of the most common fruits in the world,Category-Exemplar-Pairs
774,apple,fruit,apple is a delicious type of fruit.,Category-Exemplar-Pairs
776,apple,green,i like to eat green apple more.,HasProperty
778,argument,debate,an argument is a form of debate with opposing views.,Category-Exemplar-Pairs
779,arouse,sex,"to have sex, i need to be aroused.",Has-Prerequisite
780,assistance,social benefits,social benefits is a type of assistance that is needed.,Category-Exemplar-Pairs
781,attend,accompany,attend is the synonym of the accompany,Synonym
782,attend,miss,"if you missed the festival, you did not attend it.",Antonym
784,aware,enlightened,aware has a similar meaning as enlightened.,Synonym
787,bathroom,clean,bathrooms need to be cleaned frequently.,Has-Prerequisite
789,battle,war,a battle is a smaller part of a war.,PartOf
790,battle,war,war is another word for battle.,Synonym
791,beautiful,handsome,beautiful has a similar meaning as handsome.,Synonym
792,bedroom,bed,bedrooms have a bed for you to sleep in.,PartOf
793,bedroom,bed,i went to my bedroom to lay on my bed.,PartOf
796,believable,likely,believable has a similar meaning as likely.,Synonym
797,belong,consist,belong is also defined to the consist.,Synonym
798,beret,hat,a beret is a type of hat.,Category-Exemplar-Pairs
799,bicycle,pedal,a bicycle has two pedals.,PartOf
800,bicycle,ride,i last week bicycle ride with my friends,Function
802,bicycle,street,there are many bicycles in the street.,Location
803,bicycle,cycling,cycling to work on my bicycle can be tough in heavy rain.,Function
805,blaster,gun,a blaster is a type of gun,Category-Exemplar-Pairs
807,blender,kitchen,in my kitchen i have many blender,Location
808,blender,mix,i use the blender to mix ingredients.,Function
811,board,wood,the board is made out of a rare wood.,Material-MadeOf
812,bottle,container,"a bottle is a container, containing something.",Category-Exemplar-Pairs
813,bottle,container,a bottle is a type of container.,Category-Exemplar-Pairs
814,bottle,transparent,bottles are usually transparent because they are made of glass,HasProperty
816,bottle,glass,most bottles are made of glass as the main material,Material-MadeOf
817,brave,animals,animals need to be brave when dealing with their enemies.,Has-Prerequisite
818,bridge,connect,a bridge connects two pieces of land,Function
819,bridge,connect,bridges connect two pieces of land separated by water.,Function
820,bridge,connect,the bridge is what connect the two mega cities.,Function
821,bridge,construction,the construction of the bridge has started.,Category-Exemplar-Pairs
822,bridge,long,the bridge is too long to be completed soon.,HasProperty
824,bucket,container,a bucket is a type of container.,Category-Exemplar-Pairs
825,buddy,boyfriend,buddy is defined as the boyfriend,Synonym
826,build,cars,cars need to be built from scratch.,Has-Prerequisite
827,build,construct,build is the synonym of the construct.,Synonym
829,building,brick,the brick building was sturdy and tall.,Material-MadeOf
830,building,cement,all building are make cement,Material-MadeOf
833,building,tall,the building was tall and overshadowed the smaller ones around it.,HasProperty
834,building,wood,wood is often used to make a building.,Material-MadeOf
835,bullet,kill,a bullet can kill someone.,Function
836,bullet,round,a bullet is often referred to as a round.,HasProperty
837,bullet,shooting,bullets are involved in a shooting.,Function
838,bullet,slug,bullet is the another word of slug,Synonym
839,bunch,clump,bunch has a similar meaning as clump.,Synonym
840,bunch,group,bunch has a similar meaning as group.,Synonym
842,business,occupation,business has a similar meaning as occupation.,Synonym
844,cafeteria,school,every school has a cafeteria for the kids to eat lunch in,Location
846,cafeteria,school,the cafeteria at any school is a social melting pot,Location
847,cafeteria,school,the school cafeteria was clean and bright.,Location
848,camera,picture,the camera took a black and white picture,Function
849,camera,picture,you can take many pictures with a camera.,Function
850,camera,lens,the camera lens was very dirty.,HasProperty
852,carpet,dirty,carpets get very dirty over time.,HasProperty
853,carpet,dirty,the carpet is dirty and needed to be cleaned.,HasProperty
854,carpet,fur,some carpets can be bought that are made of fur,Material-MadeOf
855,chair,office,you have many chairs in the office,Location
856,chair,bench,a bench is a longer type of chair for people to sit on.,Category-Exemplar-Pairs
858,champagne,france,champagne is a region in france,PartOf
859,champagne,bubbly,champagne is bubbly when you first open and pour,HasProperty
861,champagne,sparkling,champagne is a sparkling wine,HasProperty
863,charity,love,showing charity to the needy is synonyms to showing them love,Synonym
864,cheap,expensive,the opposite of cheap is expensive.,Antonym
867,chest,body,the chest is a very important part of the body.,PartOf
868,chickadee,bird,a chickadee is a bird.,Category-Exemplar-Pairs
869,chickadee,bird,a chickadee is a type of bird.,Category-Exemplar-Pairs
871,chickadee,bird,the girl enjoyed learning about birds and she found the chickadee to be adorable,Category-Exemplar-Pairs
872,chickadee,small,a chickadee is a small bird.,HasProperty
873,chickadee,small,chickadees are one of the smallest animals.,HasProperty
874,chickadee,small,chickadees tend to be quite small.,HasProperty
875,children,school,children need to attend school.,Has-Prerequisite
876,children,family,children are usually part of a family.,PartOf
877,choke,abuse,"if you choke someone, that is a form of abuse",Category-Exemplar-Pairs
878,choke,suffocate,choke is also defined as the suffocate,Synonym
