,subj,obj,relation,explanation,mask_type,subj_new,obj_new,explanation_new,filled_sequence
65,agent,person,thematic,an agent is a person who acts on behalf of another person .,subj-rel,actor,person,an actor is a person who acts on behalf of another person.,"an actor is a person who acts on behalf of another person., so they have a thematic relation."
66,agent,person,thematic,an agent is a person who acts on behalf of another person .,subj-rel,official,person,an official is a person who acts on behalf of another person.,"an official is a person who acts on behalf of another person., so they have a thematic relation."
67,agent,person,thematic,an agent is a person who acts on behalf of another person .,obj-rel,agent,being,an agent is a being who acts on behalf of another person.,"an agent is a being who acts on behalf of another person., so they have a thematic relation."
68,agent,person,thematic,an agent is a person who acts on behalf of another person .,obj-rel,agent,character,an agent is a character who acts on behalf of another person.,"an agent is a character who acts on behalf of another person., so they have a thematic relation."
69,agent,person,thematic,an agent is a person who acts on behalf of another person .,obj-rel,agent,figure,an agent is a figure who acts on behalf of another person.,"an agent is a figure who acts on behalf of another person., so they have a thematic relation."
70,agent,person,thematic,an agent is a person who acts on behalf of another person .,obj-rel,agent,man,an agent is a man who acts on behalf of another person.,"an agent is a man who acts on behalf of another person., so they have a thematic relation."
71,agent,represent,function,she employed an agent to represent her to handle the rental business .,subj,attorney,represent,she employed an attorney to represent her to handle the rental business.,she employed an attorney to represent her to handle the rental business.
72,agent,represent,function,she employed an agent to represent her to handle the rental business .,subj,agent,represent,she employed an agent to represent her to handle the rental business.,she employed an agent to represent her to handle the rental business.
73,agent,represent,function,she employed an agent to represent her to handle the rental business .,subj,architect,represent,she employed an architect to represent her to handle the rental business.,she employed an architect to represent her to handle the rental business.
74,agent,represent,function,she employed an agent to represent her to handle the rental business .,subj,agency,represent,she employed an agency to represent her to handle the rental business.,she employed an agency to represent her to handle the rental business.
75,agent,represent,function,she employed an agent to represent her to handle the rental business .,subj,accountant,represent,she employed an accountant to represent her to handle the rental business.,she employed an accountant to represent her to handle the rental business.
76,agent,represent,function,she employed an agent to represent her to handle the rental business .,obj,agent,help,she employed an agent to help her to handle the rental business.,she employed an agent to help her to handle the rental business.
77,agent,represent,function,she employed an agent to represent her to handle the rental business .,obj,agent,allow,she employed an agent to allow her to handle the rental business.,she employed an agent to allow her to handle the rental business.
78,agent,represent,function,she employed an agent to represent her to handle the rental business .,obj,agent,assist,she employed an agent to assist her to handle the rental business.,she employed an agent to assist her to handle the rental business.
79,agent,represent,function,she employed an agent to represent her to handle the rental business .,obj,agent,enable,she employed an agent to enable her to handle the rental business.,she employed an agent to enable her to handle the rental business.
80,agent,represent,function,she employed an agent to represent her to handle the rental business .,obj,agent,hire,she employed an agent to hire her to handle the rental business.,she employed an agent to hire her to handle the rental business.
81,agent,represent,function,she employed an agent to represent her to handle the rental business .,subj-rel,attorney,represent,she employed an attorney to represent her to handle the rental business.,"she employed an attorney to represent her to handle the rental business., so they have a function relation."
82,agent,represent,function,she employed an agent to represent her to handle the rental business .,subj-rel,agent,represent,she employed an agent to represent her to handle the rental business.,"she employed an agent to represent her to handle the rental business., so they have a function relation."
83,agent,represent,function,she employed an agent to represent her to handle the rental business .,subj-rel,accountant,represent,she employed an accountant to represent her to handle the rental business.,"she employed an accountant to represent her to handle the rental business., so they have a function relation."
84,agent,represent,function,she employed an agent to represent her to handle the rental business .,subj-rel,architect,represent,she employed an architect to represent her to handle the rental business.,"she employed an architect to represent her to handle the rental business., so they have a function relation."
85,agent,represent,function,she employed an agent to represent her to handle the rental business .,subj-rel,agency,represent,she employed an agency to represent her to handle the rental business.,"she employed an agency to represent her to handle the rental business., so they have a function relation."
86,agent,represent,function,she employed an agent to represent her to handle the rental business .,obj-rel,agent,help,she employed an agent to help her to handle the rental business.,"she employed an agent to help her to handle the rental business., so they have a function relation."
87,agent,represent,function,she employed an agent to represent her to handle the rental business .,obj-rel,agent,allow,she employed an agent to allow her to handle the rental business.,"she employed an agent to allow her to handle the rental business., so they have a function relation."
88,agent,represent,function,she employed an agent to represent her to handle the rental business .,obj-rel,agent,assist,she employed an agent to assist her to handle the rental business.,"she employed an agent to assist her to handle the rental business., so they have a function relation."
89,agent,represent,function,she employed an agent to represent her to handle the rental business .,obj-rel,agent,enable,she employed an agent to enable her to handle the rental business.,"she employed an agent to enable her to handle the rental business., so they have a function relation."
90,agent,represent,function,she employed an agent to represent her to handle the rental business .,obj-rel,agent,hire,she employed an agent to hire her to handle the rental business.,"she employed an agent to hire her to handle the rental business., so they have a function relation."
91,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",subj,worthy,willing,"when a person is willing to do something, they are considered worthy.","when a person is willing to do something, they are considered worthy."
92,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",subj,free,willing,"when a person is willing to do something, they are considered free.","when a person is willing to do something, they are considered free."
93,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",subj,brave,willing,"when a person is willing to do something, they are considered brave.","when a person is willing to do something, they are considered brave."
94,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",subj,good,willing,"when a person is willing to do something, they are considered good.","when a person is willing to do something, they are considered good."
95,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",obj,agreeable,willing,"when a person is willing to do something, they are considered agreeable.","when a person is willing to do something, they are considered agreeable."
96,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",obj,agreeable,asked,"when a person is asked to do something, they are considered agreeable.","when a person is asked to do something, they are considered agreeable."
97,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",obj,agreeable,able,"when a person is able to do something, they are considered agreeable.","when a person is able to do something, they are considered agreeable."
98,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",obj,agreeable,ready,"when a person is ready to do something, they are considered agreeable.","when a person is ready to do something, they are considered agreeable."
99,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",obj,agreeable,invited,"when a person is invited to do something, they are considered agreeable.","when a person is invited to do something, they are considered agreeable."
100,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",subj-rel,.,willing,"when a person is willing to do something, they are considered..","when a person is willing to do something, they are considered.., so they have a synonym relation."
101,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",subj-rel,etc,willing,"when a person is willing to do something, they are considered etc.","when a person is willing to do something, they are considered etc., so they have a synonym relation."
102,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",subj-rel,inc,willing,"when a person is willing to do something, they are considered inc.","when a person is willing to do something, they are considered inc., so they have a synonym relation."
103,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",obj-rel,agreeable,willing,"when a person is willing to do something, they are considered agreeable.","when a person is willing to do something, they are considered agreeable., so they have a synonym relation."
104,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",obj-rel,agreeable,asked,"when a person is asked to do something, they are considered agreeable.","when a person is asked to do something, they are considered agreeable., so they have a synonym relation."
105,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",obj-rel,agreeable,able,"when a person is able to do something, they are considered agreeable.","when a person is able to do something, they are considered agreeable., so they have a synonym relation."
106,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",obj-rel,agreeable,going,"when a person is going to do something, they are considered agreeable.","when a person is going to do something, they are considered agreeable., so they have a synonym relation."
107,agreeable,willing,synonym,"when a person is willing to do something , they are considered agreeable .",obj-rel,agreeable,invited,"when a person is invited to do something, they are considered agreeable.","when a person is invited to do something, they are considered agreeable., so they have a synonym relation."
108,amiable,popular,result-in,her amiable character makes her very popular among her friends .,subj,unique,popular,her unique character makes her very popular among her friends.,her unique character makes her very popular among her friends.
109,amiable,popular,result-in,her amiable character makes her very popular among her friends .,subj,strong,popular,her strong character makes her very popular among her friends.,her strong character makes her very popular among her friends.
110,amiable,popular,result-in,her amiable character makes her very popular among her friends .,subj,funny,popular,her funny character makes her very popular among her friends.,her funny character makes her very popular among her friends.
111,amiable,popular,result-in,her amiable character makes her very popular among her friends .,subj,cheerful,popular,her cheerful character makes her very popular among her friends.,her cheerful character makes her very popular among her friends.
112,amiable,popular,result-in,her amiable character makes her very popular among her friends .,subj,unconventional,popular,her unconventional character makes her very popular among her friends.,her unconventional character makes her very popular among her friends.
113,amiable,popular,result-in,her amiable character makes her very popular among her friends .,obj,amiable,popular,her amiable character makes her very popular among her friends.,her amiable character makes her very popular among her friends.
114,amiable,popular,result-in,her amiable character makes her very popular among her friends .,obj,amiable,attractive,her amiable character makes her very attractive among her friends.,her amiable character makes her very attractive among her friends.
115,amiable,popular,result-in,her amiable character makes her very popular among her friends .,obj,amiable,respected,her amiable character makes her very respected among her friends.,her amiable character makes her very respected among her friends.
116,amiable,popular,result-in,her amiable character makes her very popular among her friends .,obj,amiable,unpopular,her amiable character makes her very unpopular among her friends.,her amiable character makes her very unpopular among her friends.
117,amiable,popular,result-in,her amiable character makes her very popular among her friends .,obj,amiable,famous,her amiable character makes her very famous among her friends.,her amiable character makes her very famous among her friends.
118,amiable,popular,result-in,her amiable character makes her very popular among her friends .,subj-rel,strong,popular,her strong character makes her very popular among her friends.,"her strong character makes her very popular among her friends., so they have a result - in relation."
119,amiable,popular,result-in,her amiable character makes her very popular among her friends .,subj-rel,unique,popular,her unique character makes her very popular among her friends.,"her unique character makes her very popular among her friends., so they have a result - in relation."
120,amiable,popular,result-in,her amiable character makes her very popular among her friends .,subj-rel,cheerful,popular,her cheerful character makes her very popular among her friends.,"her cheerful character makes her very popular among her friends., so they have a result - in relation."
121,amiable,popular,result-in,her amiable character makes her very popular among her friends .,subj-rel,funny,popular,her funny character makes her very popular among her friends.,"her funny character makes her very popular among her friends., so they have a result - in relation."
122,amiable,popular,result-in,her amiable character makes her very popular among her friends .,subj-rel,good,popular,her good character makes her very popular among her friends.,"her good character makes her very popular among her friends., so they have a result - in relation."
123,amiable,popular,result-in,her amiable character makes her very popular among her friends .,obj-rel,amiable,popular,her amiable character makes her very popular among her friends.,"her amiable character makes her very popular among her friends., so they have a result - in relation."
124,amiable,popular,result-in,her amiable character makes her very popular among her friends .,obj-rel,amiable,attractive,her amiable character makes her very attractive among her friends.,"her amiable character makes her very attractive among her friends., so they have a result - in relation."
125,amiable,popular,result-in,her amiable character makes her very popular among her friends .,obj-rel,amiable,famous,her amiable character makes her very famous among her friends.,"her amiable character makes her very famous among her friends., so they have a result - in relation."
126,amiable,popular,result-in,her amiable character makes her very popular among her friends .,obj-rel,amiable,liked,her amiable character makes her very liked among her friends.,"her amiable character makes her very liked among her friends., so they have a result - in relation."
127,amiable,popular,result-in,her amiable character makes her very popular among her friends .,obj-rel,amiable,respected,her amiable character makes her very respected among her friends.,"her amiable character makes her very respected among her friends., so they have a result - in relation."
128,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",subj,rage,mad,"when someone is really mad and yelling, they are having a fit of rage.","when someone is really mad and yelling, they are having a fit of rage."
129,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",subj,temper,mad,"when someone is really mad and yelling, they are having a fit of temper.","when someone is really mad and yelling, they are having a fit of temper."
130,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",subj,anger,mad,"when someone is really mad and yelling, they are having a fit of anger.","when someone is really mad and yelling, they are having a fit of anger."
131,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",subj,laughter,mad,"when someone is really mad and yelling, they are having a fit of laughter.","when someone is really mad and yelling, they are having a fit of laughter."
132,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",subj,panic,mad,"when someone is really mad and yelling, they are having a fit of panic.","when someone is really mad and yelling, they are having a fit of panic."
133,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",obj,anger,upset,"when someone is really upset and yelling, they are having a fit of anger.","when someone is really upset and yelling, they are having a fit of anger."
134,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",obj,anger,angry,"when someone is really angry and yelling, they are having a fit of anger.","when someone is really angry and yelling, they are having a fit of anger."
135,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",obj,anger,shouting,"when someone is really shouting and yelling, they are having a fit of anger.","when someone is really shouting and yelling, they are having a fit of anger."
136,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",obj,anger,crying,"when someone is really crying and yelling, they are having a fit of anger.","when someone is really crying and yelling, they are having a fit of anger."
137,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",subj-rel,rage,mad,"when someone is really mad and yelling, they are having a fit of rage.","when someone is really mad and yelling, they are having a fit of rage., so they have a synonym relation."
138,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",subj-rel,temper,mad,"when someone is really mad and yelling, they are having a fit of temper.","when someone is really mad and yelling, they are having a fit of temper., so they have a synonym relation."
139,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",subj-rel,anger,mad,"when someone is really mad and yelling, they are having a fit of anger.","when someone is really mad and yelling, they are having a fit of anger., so they have a synonym relation."
140,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",subj-rel,laughter,mad,"when someone is really mad and yelling, they are having a fit of laughter.","when someone is really mad and yelling, they are having a fit of laughter., so they have a synonym relation."
141,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",subj-rel,giggles,mad,"when someone is really mad and yelling, they are having a fit of giggles.","when someone is really mad and yelling, they are having a fit of giggles., so they have a synonym relation."
142,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",obj-rel,anger,upset,"when someone is really upset and yelling, they are having a fit of anger.","when someone is really upset and yelling, they are having a fit of anger., so they have a synonym relation."
143,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",obj-rel,anger,angry,"when someone is really angry and yelling, they are having a fit of anger.","when someone is really angry and yelling, they are having a fit of anger., so they have a synonym relation."
144,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",obj-rel,anger,shouting,"when someone is really shouting and yelling, they are having a fit of anger.","when someone is really shouting and yelling, they are having a fit of anger., so they have a synonym relation."
145,anger,mad,synonym,"when someone is really mad and yelling , they are having a fit of anger .",obj-rel,anger,crying,"when someone is really crying and yelling, they are having a fit of anger.","when someone is really crying and yelling, they are having a fit of anger., so they have a synonym relation."
146,appointments,early,time,i try to be early for my appointments .,subj,classes,early,i try to be early for my classes.,i try to be early for my classes.
147,appointments,early,time,i try to be early for my appointments .,subj,class,early,i try to be early for my class.,i try to be early for my class.
148,appointments,early,time,i try to be early for my appointments .,subj,appointment,early,i try to be early for my appointment.,i try to be early for my appointment.
149,appointments,early,time,i try to be early for my appointments .,subj,meeting,early,i try to be early for my meeting.,i try to be early for my meeting.
150,appointments,early,time,i try to be early for my appointments .,subj,shift,early,i try to be early for my shift.,i try to be early for my shift.
151,appointments,early,time,i try to be early for my appointments .,obj,appointments,prepared,i try to be prepared for my appointments.,i try to be prepared for my appointments.
152,appointments,early,time,i try to be early for my appointments .,obj,appointments,ready,i try to be ready for my appointments.,i try to be ready for my appointments.
153,appointments,early,time,i try to be early for my appointments .,obj,appointments,late,i try to be late for my appointments.,i try to be late for my appointments.
154,appointments,early,time,i try to be early for my appointments .,obj,appointments,busy,i try to be busy for my appointments.,i try to be busy for my appointments.
155,appointments,early,time,i try to be early for my appointments .,obj,appointments,present,i try to be present for my appointments.,i try to be present for my appointments.
156,appointments,early,time,i try to be early for my appointments .,subj-rel,classes,early,i try to be early for my classes.,"i try to be early for my classes., so they have a time relation."
157,appointments,early,time,i try to be early for my appointments .,subj-rel,class,early,i try to be early for my class.,"i try to be early for my class., so they have a time relation."
158,appointments,early,time,i try to be early for my appointments .,subj-rel,meeting,early,i try to be early for my meeting.,"i try to be early for my meeting., so they have a time relation."
159,appointments,early,time,i try to be early for my appointments .,subj-rel,shift,early,i try to be early for my shift.,"i try to be early for my shift., so they have a time relation."
160,appointments,early,time,i try to be early for my appointments .,subj-rel,meetings,early,i try to be early for my meetings.,"i try to be early for my meetings., so they have a time relation."
161,appointments,early,time,i try to be early for my appointments .,obj-rel,appointments,ready,i try to be ready for my appointments.,"i try to be ready for my appointments., so they have a time relation."
162,appointments,early,time,i try to be early for my appointments .,obj-rel,appointments,prepared,i try to be prepared for my appointments.,"i try to be prepared for my appointments., so they have a time relation."
163,appointments,early,time,i try to be early for my appointments .,obj-rel,appointments,late,i try to be late for my appointments.,"i try to be late for my appointments., so they have a time relation."
164,appointments,early,time,i try to be early for my appointments .,obj-rel,appointments,present,i try to be present for my appointments.,"i try to be present for my appointments., so they have a time relation."
165,appointments,early,time,i try to be early for my appointments .,obj-rel,appointments,busy,i try to be busy for my appointments.,"i try to be busy for my appointments., so they have a time relation."
166,appointment,late,time,sometimes i am late for my appointment .,subj,classes,late,sometimes i am late for my classes.,sometimes i am late for my classes.
167,appointment,late,time,sometimes i am late for my appointment .,subj,class,late,sometimes i am late for my class.,sometimes i am late for my class.
168,appointment,late,time,sometimes i am late for my appointment .,subj,work,late,sometimes i am late for my work.,sometimes i am late for my work.
169,appointment,late,time,sometimes i am late for my appointment .,subj,appointment,late,sometimes i am late for my appointment.,sometimes i am late for my appointment.
170,appointment,late,time,sometimes i am late for my appointment .,subj,lessons,late,sometimes i am late for my lessons.,sometimes i am late for my lessons.
171,appointment,late,time,sometimes i am late for my appointment .,obj,appointment,late,sometimes i am late for my appointment.,sometimes i am late for my appointment.
172,appointment,late,time,sometimes i am late for my appointment .,obj,appointment,early,sometimes i am early for my appointment.,sometimes i am early for my appointment.
